Station Name,MesoWest Station ID,RAWS_ID
ARB1 PORTABLE,TS392,
DUTCH-INDY,DUIC1,CDUT
PATTYMOCUS,PMCC1,
BANNING,BNJC1,CBNN
ROUND MOUNTAIN,RNDC1,CROU
TIMBER MOUNTAIN,TBRC1,CTIM
SEDGWICK,SXWC1,CSED
GAVIOTA,GVTC1,CGAV
BLUE DOOR,BDOC1,CBLD
RAVENDALE,RVDC1,CRAV
JUNIPER CREEK,JPRC1,CJUN
HORSE LAKE,HLKC1,CHOL
HIDDEN VALLEY,HDVC1,CHDV
BLUE MAX,BMXC1,CBMX
SURPRISE VALLEY,SSYC1,CSP3
MEANS LAKE,MNLC1,CMEA
BULL FLAT,BUFC1,CBUL
APPLE VALLEY 2,GNTC1,
RED MOUNTAIN,SQSC1,CSQS
FISH CREEK MOUNTAINS,FHCC1,
OPAL MOUNTAIN,OPLC1,COPA
BURNS CANYON,BCNC1,CBUR
MID HILLS,MDHC1,CMID
JAWBONE,JWBC1,CJAW
HORSE THIEF SPRINGS,HTSC1,CHOR
CNF40 PORTABLE,TR120,
CLEVELAND PORTABLE,TR119,
OAK GROVE,OGVC1,COG2
SUGARLOAF (SHF),SLFC1,CSUF
OAK MOUNTAIN,OMTC1,COAM
SANTA BARBARA,SBIC1,CSBB
BLACKBIRD,BLKD1,CBBD
OTAY MOUNTAIN,OTYC1,COTA
OAK CREEK,IDPC1,COCR
KETTLEMAN HILLS,KTLC1,CKET
BENTON,BETC1,CBEN
CARRIZO,CAZC1,CCAR
LAS FLORES,LSFC1,CLFL
FIVE MILE,FMRC1,CFIV
MARQUEZ 2011,MRQC1,
BEAR PEAK,BPKC1,CBEA
FALLBROOK,FBZC1,CFLB
CASE SPRINGS,CSPC1,CCAS
LAKE MATHEWS,MHEC1,CMC3
SENATOR WASH,SWLC1,CSQU
MATEO RIDGE,TEOC1,CMTR
BIRD SPRINGS PASS,BIJC1,CBSP
SANTA RITA,SRTC1,CSNR
ROBLAR CANYON,CTGC1,CROB
DOS PALMAS,DPMC1,CDPA
CASE MOUNTAIN,CSWC1,CCMO
WAWONA,WWNC1,CWAW
WWOLF,WWRC1,
PINNACLES,PCLC1,CPNN
WALKER PASS,ONYC1,CWAL
BIG HILL,BIIC1,CBIH
EL PORTAL,EPWC1,CELP
WIRE MOUNTAIN,WIRC1,CWIR
WOFFORD HEIGHTS,WFHC1,CWOF
TALEGA RIDGE,TLGC1,CTLR
CRANE,CNFC1,CCRA
HIGH GLADE LOOKOUT,HGLC1,CHGL
LYTLE CREEK,LTLC1,CLYT
LPF88 PORTABLE,TR130,
MILL CREEK (BDF),MMKC1,CMCB
MORMON ROCK,MNCC1,CMOR
CNF30 PORTABLE,TT709,
JERSEYDALE,JSDC1,CJER
SNF06 PORTABLE,FSBC1,
OLEMA VALLEY,OVYC1,COLV
SAWYERS BAR,SWBC1,CSAW
SPRING VALLEY,HSPC1,CSVA
POVERTY,MIPC1,CPOV
BOLAM,BOLC1,CBOL
PULGAS,PUGC1,CPUL
CALAVERAS ROAD,PEAC1,CCLV
LAURAL MOUNTAIN,LRLC1,CLAR
RIVERKERN,KRNC1,
INDIAN WELLS CANYON,IWLC1,CINW
LAKE COUNTY RAWS1,LKRC1,
WESTSIDE,WEDC1,CWSS
DEVORE,DVOC1,CDV2
RANCHITA,RCHC1,CRCH
VALLEY CENTER,VLCC1,CVAL
POTRERO,POTC1,CPOT
CLARK,CLHC1,CCLK
ANZA,NZAC1,CESP
SANTA ROSA PLATEAU,SRUC1,CSRO
YUCCA VALLEY,UCCC1,CYUC
JULIAN,JULC1,CJUL
BEAUMONT,BNTC1,CBEU
PIKE COUNTY LOOKOUT,PKCC1,CPIK
CONVERSE,CVEC1,CCON
VISTA GRANDE,VGRC1,CVIS
BIG PINE FLAT,BPFC1,CBPI
FAWNSKIN,FWSC1,CFAW
BATTERSON,BSNC1,CBAT
LUNDY,UNDC1,CLDK
CALFIRE PORTABLE 35,TT753,
COUNTY LINE,WISC1,CCOU
LYONS VALLEY,COWC1,CLYO
MIAMI,MIAC1,CMIA
COAST DAIRIES,XCDC1,CCDA
HOPLAND UC,HPDC1,
KNOXVILLE CREEK,KNXC1,CKNO
COOSKIE MOUNTAIN,PTEC1,CCOO
PURISIMA HILLS,PUSC1,CPUR
ANACAPA ISLAND,ANIC1,CANA
CORONA 1,CNAC1,
ROCK CAMP,RCPC1,CRCC
MULE MOUNTAIN,MMOC1,CMLM
ARB4 PORTABLE,ANUC1,
MALIBU HILLS,MBUC1,CMAL
SADDLEBACK BUTTE,SDLC1,CSAD
LAKE PALMDALE,LPDC1,CLPA
CATALINA ISLAND,CWNC1,
LA CO PORTABLE 1,TS049,
LEO CARRILLO,LCBC1,CLEO
NEWHALL PASS,NHPC1,CNEW
HENNINGER FLATS,HNGC1,CHEN
CLAREMONT,CMOC1,CCLA
CORDOZA RIDGE,CZRC1,CCDZ
ORESTIMBA CREEK,OSMC1,
PORTABLE 41,TT625,
WHISKEYTOWN HQ#2,OBRC1,CWHS
DOYLE,DYLC1,CDOY
CABAZON,BAZC1,CCAB
WHITEWATER,WWAC1,
SAGE,HMMC1,CSAG
BELL CANYON,CAPC1,CBCN
HIGHLAND SPRINGS,HSGC1,CHC3
FREMONT CANYON,FRCC1,CFRE
POPPET FLAT,POPC1,CPFL
CATHEDRAL CANYON,EDRC1,CCTH
CHINO HILLS,CQHC1,CCHH
INDIAN WELL,IDWC1,CIND
CALFIRE  PORTABLE 511 ,,
HEAPS PEAK,HHPC1,CHPP
CALFIRE PORTABLE 27,TR113,
LAS TABLAS,TABC1,CLST
CORRALITOS,CTOC1,CCOR
LA HONDA,LAHC1,CLAH
LA PANZA,LPZC1,CLAP
MARIPOSA,MPOC1,CMAR
HERNANDEZ,HDZC1,CHER
HOLLISTER,HSEC1,CHLR
PARKFIELD,PKFC1,CPAR
CALFIRE PORT 34 YARO,TT469,
TRIMMER,TRMC1,CTRM
BEN LOMOND,BNDC1,CBNL
MOUNTAIN REST,MTQC1,CMOU
HASTINGS,CAHC1,CHAS
LOS BANOS,SLRC1,CLAB
SAN LUIS OBISPO,ARGC1,CSLO
CRAZY PEAK,CRZC1,CCRZ
BRADLEY,RBYC1,CBDY
SAN SIMEON,OBPC1,CSSM
RICE VALLEY,RVYC1,CRIC
HURLEY,PRHC1,CHUR
MILO,MOLC1,CMIO
FANCHER CREEK,FCHC1,CFAN
FOUNTAIN SPRINGS,FTNC1,CFOU
OWENS VALLEY,OVRC1,COWV
MAD RIVER,MDDC1,CMAD
CALFIRE PORTABLE 44,TT468,
