"APPLICATION_NUMBER","WATER_RIGHT_ID","YEAR","MONTH","AMOUNT","DIVERSION_TYPE"
"A003601",576,2017,1,0,"USE"
"A003601",576,2017,1,0,"STORAGE"
"A003601",576,2017,1,0,"DIRECT"
"A003601",576,2017,2,0,"DIRECT"
"A003601",576,2017,2,0,"STORAGE"
"A003601",576,2017,2,0,"USE"
"A003601",576,2017,3,0,"USE"
"A003601",576,2017,3,0,"DIRECT"
"A003601",576,2017,3,0,"STORAGE"
"A003601",576,2017,4,0,"STORAGE"
"A003601",576,2017,4,0,"DIRECT"
"A003601",576,2017,4,0,"USE"
"A003601",576,2017,5,0,"USE"
"A003601",576,2017,5,0,"STORAGE"
"A003601",576,2017,5,0,"DIRECT"
"A003601",576,2017,6,0,"STORAGE"
"A003601",576,2017,6,4.18,"DIRECT"
"A003601",576,2017,6,4.18,"USE"
"A003601",576,2017,7,4.73,"USE"
"A003601",576,2017,7,4.73,"DIRECT"
"A003601",576,2017,7,0,"STORAGE"
"A003601",576,2017,8,2.25,"DIRECT"
"A003601",576,2017,8,0,"STORAGE"
"A003601",576,2017,8,2.25,"USE"
"A003601",576,2017,9,0,"USE"
"A003601",576,2017,9,0,"DIRECT"
"A003601",576,2017,9,0,"STORAGE"
"A003601",576,2017,10,0,"DIRECT"
"A003601",576,2017,10,0,"STORAGE"
"A003601",576,2017,10,0,"USE"
"A003601",576,2017,11,0,"USE"
"A003601",576,2017,11,0,"DIRECT"
"A003601",576,2017,11,0,"STORAGE"
"A003601",576,2017,12,0,"STORAGE"
"A003601",576,2017,12,0,"DIRECT"
"A003601",576,2017,12,0,"USE"
"A003601",576,2018,1,0,"USE"
"A003601",576,2018,1,0,"DIRECT"
"A003601",576,2018,1,0,"STORAGE"
"A003601",576,2018,2,0,"DIRECT"
"A003601",576,2018,2,0,"STORAGE"
"A003601",576,2018,2,0,"USE"
"A003601",576,2018,3,0,"USE"
"A003601",576,2018,3,0,"STORAGE"
"A003601",576,2018,3,0,"DIRECT"
"A003601",576,2018,4,0,"STORAGE"
"A003601",576,2018,4,0,"DIRECT"
"A003601",576,2018,4,0,"USE"
"A003601",576,2018,5,0,"USE"
"A003601",576,2018,5,0,"STORAGE"
"A003601",576,2018,5,0,"DIRECT"
"A003601",576,2018,6,4.4,"DIRECT"
"A003601",576,2018,6,0,"STORAGE"
"A003601",576,2018,6,4.4,"USE"
"A003601",576,2018,7,4.93,"USE"
"A003601",576,2018,7,0,"STORAGE"
"A003601",576,2018,7,4.93,"DIRECT"
"A003601",576,2018,8,2.27,"DIRECT"
"A003601",576,2018,8,0,"STORAGE"
"A003601",576,2018,8,2.27,"USE"
"A003601",576,2018,9,0,"USE"
"A003601",576,2018,9,0,"STORAGE"
"A003601",576,2018,9,0,"DIRECT"
"A003601",576,2018,10,0,"STORAGE"
"A003601",576,2018,10,0,"DIRECT"
"A003601",576,2018,10,0,"USE"
"A003601",576,2018,11,0,"USE"
"A003601",576,2018,11,0,"STORAGE"
"A003601",576,2018,11,0,"DIRECT"
"A003601",576,2018,12,0,"DIRECT"
"A003601",576,2018,12,0,"STORAGE"
"A003601",576,2018,12,0,"USE"
"A003601",576,2019,1,0,"USE"
"A003601",576,2019,1,0,"STORAGE"
"A003601",576,2019,1,0,"DIRECT"
"A003601",576,2019,2,0,"STORAGE"
"A003601",576,2019,2,0,"DIRECT"
"A003601",576,2019,2,0,"USE"
"A003601",576,2019,3,0,"USE"
"A003601",576,2019,3,0,"STORAGE"
"A003601",576,2019,3,0,"DIRECT"
"A003601",576,2019,4,0,"DIRECT"
"A003601",576,2019,4,0,"STORAGE"
"A003601",576,2019,4,0,"USE"
"A003601",576,2019,5,0,"USE"
"A003601",576,2019,5,0,"STORAGE"
"A003601",576,2019,5,0,"DIRECT"
"A003601",576,2019,6,0,"STORAGE"
"A003601",576,2019,6,4.4,"DIRECT"
"A003601",576,2019,6,4.4,"USE"
"A003601",576,2019,7,4.93,"USE"
"A003601",576,2019,7,0,"STORAGE"
"A003601",576,2019,7,4.93,"DIRECT"
"A003601",576,2019,8,0,"STORAGE"
"A003601",576,2019,8,2.27,"DIRECT"
"A003601",576,2019,8,2.27,"USE"
"A003601",576,2019,9,0,"USE"
"A003601",576,2019,9,0,"DIRECT"
"A003601",576,2019,9,0,"STORAGE"
"A003601",576,2019,10,0,"STORAGE"
"A003601",576,2019,10,0,"DIRECT"
"A003601",576,2019,10,0,"USE"
"A003601",576,2019,11,0,"USE"
"A003601",576,2019,11,0,"DIRECT"
"A003601",576,2019,11,0,"STORAGE"
"A003601",576,2019,12,0,"DIRECT"
"A003601",576,2019,12,0,"STORAGE"
"A003601",576,2019,12,0,"USE"
"A003601",576,2020,1,0,"USE"
"A003601",576,2020,1,0,"STORAGE"
"A003601",576,2020,1,0,"DIRECT"
"A003601",576,2020,2,0,"DIRECT"
"A003601",576,2020,2,0,"STORAGE"
"A003601",576,2020,2,0,"USE"
"A003601",576,2020,3,0,"USE"
"A003601",576,2020,3,0,"DIRECT"
"A003601",576,2020,3,0,"STORAGE"
"A003601",576,2020,4,0,"DIRECT"
"A003601",576,2020,4,0,"STORAGE"
"A003601",576,2020,4,0,"USE"
"A003601",576,2020,5,0,"USE"
"A003601",576,2020,5,0,"DIRECT"
"A003601",576,2020,5,0,"STORAGE"
"A003601",576,2020,6,0,"STORAGE"
"A003601",576,2020,6,10.7,"DIRECT"
"A003601",576,2020,6,10.7,"USE"
"A003601",576,2020,7,11.1,"USE"
"A003601",576,2020,7,0,"STORAGE"
"A003601",576,2020,7,11.1,"DIRECT"
"A003601",576,2020,8,0,"STORAGE"
"A003601",576,2020,8,5.3,"DIRECT"
"A003601",576,2020,8,5.3,"USE"
"A003601",576,2020,9,0,"USE"
"A003601",576,2020,9,0,"DIRECT"
"A003601",576,2020,9,0,"STORAGE"
"A003601",576,2020,10,0,"STORAGE"
"A003601",576,2020,10,0,"DIRECT"
"A003601",576,2020,10,0,"USE"
"A003601",576,2020,11,0,"USE"
"A003601",576,2020,11,0,"DIRECT"
"A003601",576,2020,11,0,"STORAGE"
"A003601",576,2020,12,0,"DIRECT"
"A003601",576,2020,12,0,"STORAGE"
"A003601",576,2020,12,0,"USE"
"A003601",576,2021,1,0,"USE"
"A003601",576,2021,1,0,"STORAGE"
"A003601",576,2021,1,0,"DIRECT"
"A003601",576,2021,2,0,"STORAGE"
"A003601",576,2021,2,0,"DIRECT"
"A003601",576,2021,2,0,"USE"
"A003601",576,2021,3,0,"USE"
"A003601",576,2021,3,0,"STORAGE"
"A003601",576,2021,3,0,"DIRECT"
"A003601",576,2021,4,0,"DIRECT"
"A003601",576,2021,4,0,"STORAGE"
"A003601",576,2021,4,0,"USE"
"A003601",576,2021,5,0,"USE"
"A003601",576,2021,5,0,"DIRECT"
"A003601",576,2021,5,0,"STORAGE"
"A003601",576,2021,6,10.71,"DIRECT"
"A003601",576,2021,6,0,"STORAGE"
"A003601",576,2021,6,10.71,"USE"
"A003601",576,2021,7,11.07,"USE"
"A003601",576,2021,7,0,"STORAGE"
"A003601",576,2021,7,11.07,"DIRECT"
"A003601",576,2021,8,0.71,"DIRECT"
"A003601",576,2021,8,0,"STORAGE"
"A003601",576,2021,8,0.71,"USE"
"A003601",576,2021,9,0,"USE"
"A003601",576,2021,9,0,"DIRECT"
"A003601",576,2021,9,0,"STORAGE"
"A003601",576,2021,10,0,"DIRECT"
"A003601",576,2021,10,0,"STORAGE"
"A003601",576,2021,10,0,"USE"
"A003601",576,2021,11,0,"USE"
"A003601",576,2021,11,0,"DIRECT"
"A003601",576,2021,11,0,"STORAGE"
"A003601",576,2021,12,0,"STORAGE"
"A003601",576,2021,12,0,"DIRECT"
"A003601",576,2021,12,0,"USE"
"A003601",576,2022,1,0,"USE"
"A003601",576,2022,1,0,"STORAGE"
"A003601",576,2022,1,0,"DIRECT"
"A003601",576,2022,2,0,"DIRECT"
"A003601",576,2022,2,0,"STORAGE"
"A003601",576,2022,2,0,"USE"
"A003601",576,2022,3,0,"USE"
"A003601",576,2022,3,0,"DIRECT"
"A003601",576,2022,3,0,"STORAGE"
"A003601",576,2022,4,0,"DIRECT"
"A003601",576,2022,4,0,"STORAGE"
"A003601",576,2022,4,0,"USE"
"A003601",576,2022,5,0,"USE"
"A003601",576,2022,5,0,"STORAGE"
"A003601",576,2022,5,0,"DIRECT"
"A003601",576,2022,6,0,"STORAGE"
"A003601",576,2022,6,10.7,"DIRECT"
"A003601",576,2022,6,10.7,"USE"
"A003601",576,2022,7,11,"USE"
"A003601",576,2022,7,0,"STORAGE"
"A003601",576,2022,7,11,"DIRECT"
"A003601",576,2022,8,5.4,"DIRECT"
"A003601",576,2022,8,0,"STORAGE"
"A003601",576,2022,8,5.4,"USE"
"A003601",576,2022,9,0,"USE"
"A003601",576,2022,9,0,"STORAGE"
"A003601",576,2022,9,0,"DIRECT"
"A003601",576,2022,10,0,"STORAGE"
"A003601",576,2022,10,0,"DIRECT"
"A003601",576,2022,10,0,"USE"
"A003601",576,2022,11,0,"USE"
"A003601",576,2022,11,0,"STORAGE"
"A003601",576,2022,11,0,"DIRECT"
"A003601",576,2022,12,0,"STORAGE"
"A003601",576,2022,12,0,"DIRECT"
"A003601",576,2022,12,0,"USE"
"A011846",2838,2017,1,0,"USE"
"A011846",2838,2017,1,0,"STORAGE"
"A011846",2838,2017,1,0,"DIRECT"
"A011846",2838,2017,2,0,"DIRECT"
"A011846",2838,2017,2,0,"STORAGE"
"A011846",2838,2017,2,0,"USE"
"A011846",2838,2017,3,2,"USE"
"A011846",2838,2017,3,2,"DIRECT"
"A011846",2838,2017,3,0,"STORAGE"
"A011846",2838,2017,4,7.5,"DIRECT"
"A011846",2838,2017,4,0,"STORAGE"
"A011846",2838,2017,4,7.1,"USE"
"A011846",2838,2017,5,9,"USE"
"A011846",2838,2017,5,0,"STORAGE"
"A011846",2838,2017,5,9,"DIRECT"
"A011846",2838,2017,6,0,"STORAGE"
"A011846",2838,2017,6,10,"DIRECT"
"A011846",2838,2017,6,10,"USE"
"A011846",2838,2017,7,11,"USE"
"A011846",2838,2017,7,11,"DIRECT"
"A011846",2838,2017,7,0,"STORAGE"
"A011846",2838,2017,8,0,"STORAGE"
"A011846",2838,2017,8,13,"DIRECT"
"A011846",2838,2017,8,13,"USE"
"A011846",2838,2017,9,8,"USE"
"A011846",2838,2017,9,8,"DIRECT"
"A011846",2838,2017,9,0,"STORAGE"
"A011846",2838,2017,10,0,"STORAGE"
"A011846",2838,2017,10,10,"DIRECT"
"A011846",2838,2017,10,10,"USE"
"A011846",2838,2017,11,7,"USE"
"A011846",2838,2017,11,7,"DIRECT"
"A011846",2838,2017,11,0,"STORAGE"
"A011846",2838,2017,12,0,"STORAGE"
"A011846",2838,2017,12,0,"DIRECT"
"A011846",2838,2017,12,0,"USE"
"A011846",2838,2018,1,0,"USE"
"A011846",2838,2018,1,0,"STORAGE"
"A011846",2838,2018,1,0,"DIRECT"
"A011846",2838,2018,2,0,"DIRECT"
"A011846",2838,2018,2,0,"STORAGE"
"A011846",2838,2018,2,0,"USE"
"A011846",2838,2018,3,0,"USE"
"A011846",2838,2018,3,0,"STORAGE"
"A011846",2838,2018,3,0,"DIRECT"
"A011846",2838,2018,4,0,"STORAGE"
"A011846",2838,2018,4,0,"DIRECT"
"A011846",2838,2018,4,0,"USE"
"A011846",2838,2018,5,0,"USE"
"A011846",2838,2018,5,0,"DIRECT"
"A011846",2838,2018,5,0,"STORAGE"
"A011846",2838,2018,6,0,"STORAGE"
"A011846",2838,2018,6,0,"DIRECT"
"A011846",2838,2018,6,0.13,"USE"
"A011846",2838,2018,7,0.26,"USE"
"A011846",2838,2018,7,0,"DIRECT"
"A011846",2838,2018,7,0,"STORAGE"
"A011846",2838,2018,8,0,"DIRECT"
"A011846",2838,2018,8,0,"STORAGE"
"A011846",2838,2018,8,0.2,"USE"
"A011846",2838,2018,9,0,"USE"
"A011846",2838,2018,9,0,"DIRECT"
"A011846",2838,2018,9,0,"STORAGE"
"A011846",2838,2018,10,0,"STORAGE"
"A011846",2838,2018,10,0,"DIRECT"
"A011846",2838,2018,10,0.13,"USE"
"A011846",2838,2018,11,0,"USE"
"A011846",2838,2018,11,0,"DIRECT"
"A011846",2838,2018,11,0,"STORAGE"
"A011846",2838,2018,12,0,"DIRECT"
"A011846",2838,2018,12,0,"STORAGE"
"A011846",2838,2018,12,0,"USE"
"A011846",2838,2019,1,0,"USE"
"A011846",2838,2019,1,0,"DIRECT"
"A011846",2838,2019,1,0,"STORAGE"
"A011846",2838,2019,2,0,"STORAGE"
"A011846",2838,2019,2,0,"DIRECT"
"A011846",2838,2019,2,0,"USE"
"A011846",2838,2019,3,0,"USE"
"A011846",2838,2019,3,0,"STORAGE"
"A011846",2838,2019,3,0,"DIRECT"
"A011846",2838,2019,4,0,"STORAGE"
"A011846",2838,2019,4,0,"DIRECT"
"A011846",2838,2019,4,0,"USE"
"A011846",2838,2019,5,0,"USE"
"A011846",2838,2019,5,0,"DIRECT"
"A011846",2838,2019,5,0,"STORAGE"
"A011846",2838,2019,6,0,"STORAGE"
"A011846",2838,2019,6,0,"DIRECT"
"A011846",2838,2019,6,0.13,"USE"
"A011846",2838,2019,7,0.26,"USE"
"A011846",2838,2019,7,0,"STORAGE"
"A011846",2838,2019,7,0,"DIRECT"
"A011846",2838,2019,8,0,"STORAGE"
"A011846",2838,2019,8,0,"DIRECT"
"A011846",2838,2019,8,0.2,"USE"
"A011846",2838,2019,9,0,"USE"
