"Name","Tmin","Tmax"
"Temp4","2022-12-01",-4
"Temp4","2022-12-02",-1.7
"Temp4","2022-12-03",-2.6
"Temp4","2022-12-04",2.6
"Temp4","2022-12-05",7.5
"Temp4","2022-12-06",7.6
"Temp4","2022-12-07",0.7
"Temp4","2022-12-08",0.1
"Temp4","2022-12-09",3.4
"Temp4","2022-12-10",2.7
"Temp4","2022-12-11",6.4
"Temp4","2022-12-12",4
"Temp4","2022-12-13",-1.1
"Temp4","2022-12-14",-1.8
"Temp4","2022-12-15",-2.1
"Temp4","2022-12-16",-2
"Temp4","2022-12-17",-2.6
"Temp4","2022-12-18",-3.5
"Temp4","2022-12-19",-3.7
"Temp4","2022-12-20",2
"Temp4","2022-12-21",1.4
"Temp4","2022-12-22",1
"Temp4","2022-12-23",4.4
"Temp4","2022-12-24",2.7
"Temp4","2022-12-25",4.5
"Temp4","2022-12-26",5.2
"Temp4","2022-12-27",5.8
"Temp4","2022-12-28",3.1
"Temp4","2022-12-29",2.7
"Temp4","2022-12-30",7.9
"Temp4","2022-12-31",10.8
"Temp4","2023-01-01",4.6
"Temp4","2023-01-02",3.2
"Temp4","2023-01-03",3.5
