"Name","Tmin","Tmax"
"Temp7","2022-12-01",2.7
"Temp7","2022-12-02",-1
"Temp7","2022-12-03",-1
"Temp7","2022-12-04",-0.5
"Temp7","2022-12-05",2.4
"Temp7","2022-12-06",3
"Temp7","2022-12-07",2.8
"Temp7","2022-12-08",2.1
"Temp7","2022-12-09",0.7
"Temp7","2022-12-10",1.1
"Temp7","2022-12-11",0.5
"Temp7","2022-12-12",0.9
"Temp7","2022-12-13",-0.4
"Temp7","2022-12-14",2.1
"Temp7","2022-12-15",2.6
"Temp7","2022-12-16",5.3
"Temp7","2022-12-17",5.1
"Temp7","2022-12-18",5.1
"Temp7","2022-12-19",3.5
"Temp7","2022-12-20",2.8
"Temp7","2022-12-21",4.1
"Temp7","2022-12-22",6.5
"Temp7","2022-12-23",6
"Temp7","2022-12-24",6.1
"Temp7","2022-12-25",8.7
"Temp7","2022-12-26",11
"Temp7","2022-12-27",7.7
"Temp7","2022-12-28",3.8
"Temp7","2022-12-29",1.4
"Temp7","2022-12-30",1.7
"Temp7","2022-12-31",8.5
"Temp7","2023-01-01",2.9
"Temp7","2023-01-02",2.6
"Temp7","2023-01-03",0.6
