"Name","Tmin","Tmax"
"Temp5","2022-12-01",1.8
"Temp5","2022-12-02",0.1
"Temp5","2022-12-03",0.2
"Temp5","2022-12-04",2.6
"Temp5","2022-12-05",5.9
"Temp5","2022-12-06",6
"Temp5","2022-12-07",3.2
"Temp5","2022-12-08",2.2
"Temp5","2022-12-09",2.7
"Temp5","2022-12-10",3.1
"Temp5","2022-12-11",3.8
"Temp5","2022-12-12",1.6
"Temp5","2022-12-13",0.9
"Temp5","2022-12-14",1.1
"Temp5","2022-12-15",2
"Temp5","2022-12-16",3.2
"Temp5","2022-12-17",2.5
"Temp5","2022-12-18",0.7
"Temp5","2022-12-19",1.2
"Temp5","2022-12-20",1.2
"Temp5","2022-12-21",4.3
"Temp5","2022-12-22",6.7
"Temp5","2022-12-23",6.7
"Temp5","2022-12-24",7
"Temp5","2022-12-25",8.4
"Temp5","2022-12-26",9.4
"Temp5","2022-12-27",8.5
"Temp5","2022-12-28",4.6
"Temp5","2022-12-29",4.5
"Temp5","2022-12-30",5.9
"Temp5","2022-12-31",11.1
"Temp5","2023-01-01",5.6
"Temp5","2023-01-02",4
"Temp5","2023-01-03",2.5
