"Date","DOWNSIZER_PRECIP1","DOWNSIZER_PRECIP2","DOWNSIZER_PRECIP3","DOWNSIZER_PRECIP5","DOWNSIZER_PRECIP8","DOWNSIZER_PRECIP10","DOWNSIZER_PRECIP11","DOWNSIZER_PRECIP13","DOWNSIZER_PRECIP14","DOWNSIZER_PRECIP15","DOWNSIZER_TMAX1","DOWNSIZER_TMIN1","DOWNSIZER_TMAX2","DOWNSIZER_TMIN2","DOWNSIZER_TMAX6","DOWNSIZER_TMIN6","date"
"2023-2-11"," 2.63","0.508"," 2.01"," 2.24","0.0","0.254","1.016","6.858","3.048","  4.74","15.555555","3.8888888","12.4"," 0.2","12.777778","5.684342E-14","2023-02-11"
"2023-2-12"," 0.00","0.254"," 0.00"," 0.00","4.572","0.0","0.0","0.0","0.254","  0.00","23.333334","1.6666666","14.0"," 1.1","20.555555","-1.6666666","2023-02-12"
"2023-2-13"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","18.88889","2.7777777","21.4"," 1.2","20.555555","0.5555556","2023-02-13"
"2023-2-14"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","2.286","0.0","  0.00","11.666667","3.8888888","15.7"," 1.6","16.666666","1.6666666","2023-02-14"
"2023-2-15"," 1.38","0.0"," 1.04"," 1.04","0.0","0.0","0.0","0.0","0.0","  0.00","17.777779","-0.5555556"," 9.2","-2.0","13.888889","-5.5555553","2023-02-15"
"2023-2-16"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","14.444445","-1.1111112","14.9","-3.3","12.222222","-3.8888888","2023-02-16"
"2023-2-17"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","19.444445","0.5555556","12.4","-1.8","17.777779","-1.1111112","2023-02-17"
"2023-2-18"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","18.88889","-1.1111112","16.5","-0.9","17.777779","-3.3333333","2023-02-18"
"2023-2-19"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","22.777779","1.6666666","17.4","-1.3","22.222221","-1.1111112","2023-02-19"
"2023-2-20"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","22.777779","3.8888888","21.6"," 0.8","23.88889","-0.5555556","2023-02-20"
"2023-2-21"," 0.00","2.032"," 0.00"," 0.00","0.0","0.0","0.0","0.0","0.0","  0.00","13.888889","5.0","23.6"," 4.5","21.11111","5.0","2023-02-21"
"2023-2-22"," 4.53","0.762"," 1.75"," 1.60","0.0","0.0","0.0","2.032","1.016","  0.00","9.444445","-0.5555556","11.3"," 1.7","6.6666665","-0.5555556","2023-02-22"
"2023-2-23"," 5.43","6.35"," 3.92"," 4.10","1.27","9.906","0.0","0.0","13.208","  0.72","8.888889","-2.2222223"," 7.4","-1.0","5.0","-0.5555556","2023-02-23"
"2023-2-24","17.07","22.606","22.90","24.47","22.86","17.272","29.972","0.0","22.352"," 28.54","8.333333","5.684342E-14"," 5.8","-0.9","5.5555553","5.684342E-14","2023-02-24"
"2023-2-25"," 4.62","0.508"," 5.45"," 5.60","11.43","1.27","6.858","22.352","3.556","  5.82","11.111111","0.5555556"," 6.4"," 0.0","9.444445","0.5555556","2023-02-25"
"2023-2-26"," 0.55","10.16"," 0.76"," 0.60","0.0","8.128","1.778","2.54","7.366","  1.30","12.222222","1.6666666"," 9.3"," 0.4","9.444445","3.8888888","2023-02-26"
"2023-2-27","11.28","21.59","15.01","15.75","10.16","14.986","6.604","18.288","13.97"," 16.26","8.888889","0.5555556"," 9.8"," 1.4","7.2222223","0.5555556","2023-02-27"
"2023-2-28","25.73","35.814","23.38","23.80","19.05","9.398","28.702","7.874","11.938"," 25.85","11.111111","1.1111112"," 6.5"," 0.7","5.0","0.5555556","2023-02-28"
"2023-3-1","14.34","0.762","12.47","13.32","6.35","0.0","12.954","  9.28"," 9.19","  9.63","13.333333","1.1111112"," 7.6","-1.0","9.444445","-3.3333333","2023-03-01"
"2023-3-2"," 0.00","0.254"," 0.00"," 0.00","0.0","0.0","0.0","  0.00"," 0.00","  0.00","17.777779","1.1111112","10.7","-1.6","14.444445","-2.2222223","2023-03-02"
"2023-3-3"," 0.00","0.0"," 0.00"," 0.00","0.0","0.0","0.0","  0.00"," 0.00","  0.00","17.222221","6.111111","14.9","-0.7","13.333333","-1.6666666","2023-03-03"
"2023-3-4"," 0.69","11.43"," 1.01"," 1.68","7.112","14.986","0.0","  0.00"," 0.00","  0.00","12.222222","3.3333333","13.3"," 1.7","13.333333","0.5555556","2023-03-04"
"2023-3-5","17.91","16.002","27.29","25.68","24.13","7.366","20.23"," 19.18","19.87"," 18.03","10.555555","1.1111112"," 8.1"," 2.1","6.111111","5.684342E-14","2023-03-05"
"2023-3-6"," 8.60","8.128","11.36","11.03","15.748","12.954"," 7.44","  9.43"," 7.62","  6.46","12.222222","1.1111112"," 7.2"," 1.1","6.6666665","5.684342E-14","2023-03-06"
"2023-3-7"," 9.42","7.112","10.13","10.76","6.096","3.556"," 6.10","  3.63"," 1.67","  2.39","12.222222","2.7777777"," 7.7"," 1.2","7.2222223","1.1111112","2023-03-07"
"2023-3-8","18.14","10.414","15.64","17.26","20.32","5.842","12.21"," 13.33","12.77"," 12.01","13.888889","1.6666666"," 8.2"," 2.0","10.555555","0.5555556","2023-03-08"
"2023-3-9"," 0.87","17.018"," 0.96"," 0.98","2.54","78.486"," 1.79","  1.13"," 0.66","  0.69","11.666667","1.6666666","10.2"," 0.6","8.333333","0.5555556","2023-03-09"
"2023-3-10","57.68","38.354","46.67","52.50","60.96","4.572","82.40","107.15","99.75","110.64","16.666666","7.7777777","10.1"," 2.0","12.222222","1.6666666","2023-03-10"
"2023-3-11"," 0.26","6.096"," 0.66"," 0.56","0.254","3.048"," 0.81","  0.64"," 0.80","  0.75","11.666667","5.5555553","13.2"," 4.5","10.555555","3.8888888","2023-03-11"
"2023-3-12","14.52","18.034","13.99","16.50","16.51","32.004","16.36"," 18.68","21.42"," 27.19","13.333333","11.111111","10.4"," 5.3","12.222222","7.7777777","2023-03-12"
"2023-3-13","27.78","23.622","19.28","26.34","13.97","11.684","23.41"," 16.77","18.67"," 25.25","15.0","11.666667","12.8"," 9.6","14.444445","10.0","2023-03-13"
"2023-3-14","28.68","32.766","24.72","30.04","33.02","65.024","19.76"," 47.62","30.52"," 39.81","15.0","7.2222223","14.0","10.1","14.444445","10.0","2023-03-14"
"2023-3-15","38.08","0.508","23.54","31.94","27.94","0.0","34.96"," 45.54","29.53"," 38.70","20.0","5.0","14.4"," 3.5","16.11111","5.684342E-14","2023-03-15"
"2023-3-16"," 0.00","0.254"," 0.00"," 0.00","0.0","0.0"," 0.00","  0.00"," 0.00","  0.00","19.444445","2.2222223","16.0"," 1.7","17.777779","5.684342E-14","2023-03-16"
"2023-3-17"," 0.00","0.254"," 0.00"," 0.00","0.0","0.0"," 0.00","  0.00"," 0.00","  0.00","21.11111","2.7777777","17.3"," 2.5","19.444445","1.1111112","2023-03-17"
"2023-3-18"," 0.00","0.0"," 0.00"," 0.00","0.0","0.508"," 0.00","  0.00"," 0.00","  0.00","18.333334","4.4444447","18.7"," 2.6","19.444445","1.6666666","2023-03-18"
"2023-3-19","16.10","17.272","10.62","13.48","12.7","18.542","10.74"," 13.78","16.94"," 15.26","12.777778","9.444445","16.9"," 3.0","17.222221","1.6666666","2023-03-19"
"2023-3-20"," 8.31","1.016"," 6.70","10.17","2.54"," 8.06"," 7.85"," 11.02","10.20"," 16.21","12.7"," 7.5","11.6"," 6.8","17.222221","3.3333333","2023-03-20"
"2023-3-21"," 1.75","1.778"," 1.44"," 1.73","2.54"," 3.15"," 0.93","  3.08"," 2.35","  2.22","13.8"," 4.8","14.5"," 4.2","15.0","6.111111","2023-03-21"
"2023-3-22"," 5.66","3.048"," 9.18"," 8.43","17.272","34.36","54.80"," 28.71","42.61"," 46.79","10.7"," 6.8","10.5"," 5.8","12.222222","3.3333333","2023-03-22"
