"Name","Tmin","Tmax"
"Temp3","2022-12-01",-2.5
"Temp3","2022-12-02",-2.5
"Temp3","2022-12-03",-2.7
"Temp3","2022-12-04",-1.5
"Temp3","2022-12-05",6.6
"Temp3","2022-12-06",5.3
"Temp3","2022-12-07",0.8
"Temp3","2022-12-08",0.5
"Temp3","2022-12-09",1.6
"Temp3","2022-12-10",2.2
"Temp3","2022-12-11",4.9
"Temp3","2022-12-12",1.3
"Temp3","2022-12-13",-0.6
"Temp3","2022-12-14",-1.1
"Temp3","2022-12-15",-1
"Temp3","2022-12-16",-1.8
"Temp3","2022-12-17",-2.5
"Temp3","2022-12-18",-3.9
"Temp3","2022-12-19",-3.4
"Temp3","2022-12-20",-2.1
"Temp3","2022-12-21",3.9
"Temp3","2022-12-22",5.7
"Temp3","2022-12-23",8.2
"Temp3","2022-12-24",7.4
"Temp3","2022-12-25",8.8
"Temp3","2022-12-26",8.5
"Temp3","2022-12-27",9.9
"Temp3","2022-12-28",4.1
"Temp3","2022-12-29",3
"Temp3","2022-12-30",6.4
"Temp3","2022-12-31",10.1
"Temp3","2023-01-01",3.4
"Temp3","2023-01-02",2
"Temp3","2023-01-03",2.3
