"Station","Date","Tmax","Tmin"
<<<<<<< HEAD
"in""HOPLAND2.A","20221215","15.6","-2.2"
"HOPLAND2.A","20221216","15.0","-3.3"
"HOPLAND2.A","20221217","16.7","-5.0"
"HOPLAND2.A","20221218","16.7","-5.0"
"HOPLAND2.A","20221219","10.6","-3.3"
"HOPLAND2.A","20221220","",""
"HOPLAND2.A","20221221","14.4","4.4"
"HOPLAND2.A","20221222","13.3","8.9"
"HOPLAND2.A","20221223","14.4","6.7"
"HOPLAND2.A","20221224","18.3","8.3"
"HOPLAND2.A","20221225","17.8","8.3"
"HOPLAND2.A","20221226","14.4","10.0"
"HOPLAND2.A","20221227","14.4","5.0"
"HOPLAND2.A","20221228","12.2","2.2"
"HOPLAND2.A","20221229","11.1","6.7"
"HOPLAND2.A","20221230","17.2","9.4"
"HOPLAND2.A","20221231","13.3","5.0"
"HOPLAND2.A","20230101","16.1","1.1"
"HOPLAND2.A","20230102","8.3","1.7"
"HOPLAND2.A","20230103","10.6","0.6"
"HOPLAND2.A","20230104","13.9","7.8"
"HOPLAND2.A","20230105","12.8","3.3"
"HOPLAND2.A","20230106","12.8","6.1"
"HOPLAND2.A","20230107","10.6","8.3"
"HOPLAND2.A","20230108","13.9","8.3"
"HOPLAND2.A","20230109","17.8","6.1"
"HOPLAND2.A","20230110","12.2","6.7"
=======
"OPLAND2.A","20230201","15.6","-4.4"
"HOPLAND2.A","20230202","16.1","-3.9"
"HOPLAND2.A","20230203","14.4","2.8"
"HOPLAND2.A","20230204","12.8","2.2"
"HOPLAND2.A","20230205","11.1","2.2"
"HOPLAND2.A","20230206","16.1","-1.1"
"HOPLAND2.A","20230207","16.7","0.6"
"HOPLAND2.A","20230208","22.2","-0.6"
"HOPLAND2.A","20230209","22.8","-1.7"
"HOPLAND2.A","20230210","15.0","-2.8"
"HOPLAND2.A","20230211","15.0","1.1"
"HOPLAND2.A","20230212","23.3","-1.7"
"HOPLAND2.A","20230213","17.8","-0.6"
"HOPLAND2.A","20230214","11.1","-1.7"
"HOPLAND2.A","20230215","",""
"HOPLAND2.A","20230216","",""
"HOPLAND2.A","20230217","18.9","-0.6"
"HOPLAND2.A","20230218","",""
"HOPLAND2.A","20230219","",""
"HOPLAND2.A","20230220","",""
"HOPLAND2.A","20230221","12.8","3.3"
"HOPLAND2.A","20230222","8.9","-2.2"
"HOPLAND2.A","20230223","7.8","-1.7"
"HOPLAND2.A","20230224","",""
"HOPLAND2.A","20230225","10.0","0.0"
"HOPLAND2.A","20230226","10.6","0.6"
"HOPLAND2.A","20230227","8.9","0.0"
"HOPLAND2.A","20230228","8.3","1.1"
"HOPLAND2.A","20230301","",""
"HOPLAND2.A","20230302","",""
"HOPLAND2.A","20230303","16.1","0.0"
"HOPLAND2.A","20230304","11.1","2.8"
"HOPLAND2.A","20230305","11.1","0.6"
"HOPLAND2.A","20230306","9.4","0.6"
"HOPLAND2.A","20230307","10.6","1.1"
"HOPLAND2.A","20230308","14.4","1.1"
"HOPLAND2.A","20230309","10.6","0.0"
"HOPLAND2.A","20230310","15.6","5.0"
"HOPLAND2.A","20230311","11.7","5.0"
"HOPLAND2.A","20230312","13.9","10.0"
>>>>>>> b1335e219953f0b581b484861e20610356f99521
