Written by class gov.usgs.trinli.ft.point.writer.PrmsWriter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
////////////////////////////////////////////////////////////,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Station metadata (listed in the same order as the data):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"// ID				Type	Latitude	Longitude	Elevation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
########################################,,,,,,"// 049684			precip	39.4194		-123.3425		1353","// 047109			precip	39.3619		-123.1286		1018","// 049122			precip	39.1466		-123.2102		636",Lyons Valley,"// 049126			precip	39.1266		-123.2719		1328",Hopland FS 85,Boonville,"// 041838			precip	38.793		-123.0263		400",Hawkeye,"// 043875			precip	38.6294		-122.8665		177","// 041312			precip	38.5961		-122.6013		400",Windsor 103,"// 043191			precip	38.515		-123.2447		112","// 043578			precip	38.4305		-122.8647		200","// 046370			precip	38.3858		-122.9661		865","// 041838			tmax	38.793		-123.0263		400","// 049122			tmax	39.1466		-123.2102		636",,,,"// 047109			tmax	39.3619		-123.1286		1018",,,"// 043875			tmin	38.6294		-122.8665		177","// 049122			tmin	39.1466		-123.2102		636",,,,"// 047109			tmin	39.3619		-123.1286		1018",,
2021,5,16,0,0,0,-999,0,-999,,0,,,0,,0,-999,,-999,-999,-999,24.444445,-999,,,,29.444445,,,10,-999,,,,8.888889,,
2021,5,17,0,0,0,-999,0,-999,,-999,,,0,,0,-999,,-999,-999,-999,22.222221,-999,,,,29.444445,,,8.888889,-999,,,,8.888889,,
2021,5,18,0,0,0,-999,0,-999,,-999,,,0,,0,-999,,-999,-999,-999,26.666666,-999,,,,26.11111,,,7.7777777,-999,,,,5.5555553,,
2021,5,19,0,0,0,-999,-999,-999,,-999,,,0,,0,-999,,-999,-999,-999,25.555555,-999,,,,-999,,,10,-999,,,,-999,,
2021,5,20,0,0,0,-999,0,-999,,-999,,,0,,0,-999,,-999,-999,-999,20,-999,,,,18.333334,,,8.333333,-999,,,,4.4444447,,
2021,5,21,0,0,0,-999,0,-999,,-999,,,0,,0,-999,,-999,-999,-999,18.333334,-999,,,,20.555555,,,8.888889,-999,,,,1.1111112,,
2021,5,22,0,0,0,-999,0,-999,,-999,,,0,,0,-999,,-999,-999,-999,21.666666,-999,,,,23.88889,,,7.7777777,-999,,,,4.4444447,,
2021,5,23,0,0,0,-999,0,-999,,-999,,,0,,0,-999,,-999,-999,-999,25,-999,,,,26.11111,,,8.888889,-999,,,,5.5555553,,
2021,5,24,0,0,0,-999,0,-999,,-999,,,0,,-999,-999,,-999,-999,-999,27.222221,-999,,,,28.88889,,,-999,-999,,,,5.5555553,,
2021,5,25,0,0,0,-999,-999,-999,,-999,,,0,,-999,-999,,-999,-999,-999,28.333334,-999,,,,-999,,,-999,-999,,,,-999,,
