########################################,,,,,,"// 049684			precip	39.4194		-123.3425		1353","// 047109			precip	39.3619		-123.1286		1018","// 049122			precip	39.1466		-123.2102		636","// 049126			precip	39.1266		-123.2719		1328","// 041838			precip	38.793		-123.0263		400","// 043875			precip	38.6294		-122.8665		177","// 041312			precip	38.5768		-122.5781		350","// 043191			precip	38.515		-123.2447		112","// 043578			precip	38.4305		-122.8647		200","// 046370			precip	38.3858		-122.9661		865","// 049684			tmax	39.4194		-123.3425		1353","// 047109			tmax	39.3619		-123.1286		1018","// 049122			tmax	39.1466		-123.2102		636","// 049126			tmax	39.1266		-123.2719		1328","// 041838			tmax	38.793		-123.0263		400","// 043875			tmax	38.6294		-122.8665		177","// 041312			tmax	38.5768		-122.5781		350","// 043191			tmax	38.515		-123.2447		112","// 043578			tmax	38.4305		-122.8647		200","// 046370			tmax	38.3858		-122.9661		865","// 049684			tmin	39.4194		-123.3425		1353","// 047109			tmin	39.3619		-123.1286		1018","// 049122			tmin	39.1466		-123.2102		636","// 049126			tmin	39.1266		-123.2719		1328","// 041838			tmin	38.793		-123.0263		400","// 043875			tmin	38.6294		-122.8665		177","// 041312			tmin	38.5768		-122.5781		350","// 043191			tmin	38.515		-123.2447		112","// 043578			tmin	38.4305		-122.8647		200","// 046370			tmin	38.3858		-122.9661		865"
2021,8,1,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,39.444443,-999,-999,31.11111,27.222221,31.666666,-999,-999,-999,-999,13.333333,-999,-999,12.222222,13.333333,13.333333,-999,-999,-999
2021,8,2,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,37.22222,-999,-999,30,30,30,-999,-999,-999,-999,11.111111,-999,-999,11.666667,10.555555,12.777778,-999,-999,-999
2021,8,3,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,38.333332,-999,-999,31.11111,33.333332,30.555555,-999,-999,-999,-999,11.666667,-999,-999,10.555555,12.222222,10,-999,-999,-999
2021,8,4,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,38.333332,-999,-999,36.11111,28.88889,35,-999,-999,-999,-999,11.111111,-999,-999,10.555555,12.777778,11.111111,-999,-999,-999
2021,8,5,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,37.77778,-999,-999,32.22222,27.222221,34.444443,-999,-999,-999,-999,8.333333,-999,-999,11.666667,12.777778,12.777778,-999,-999,-999
2021,8,6,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,36.11111,-999,-999,30,33.333332,29.444445,-999,-999,-999,-999,13.888889,-999,-999,13.333333,12.222222,12.777778,-999,-999,-999
2021,8,7,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,38.333332,-999,-999,35.555557,26.11111,34.444443,-999,-999,-999,-999,13.888889,-999,-999,13.333333,12.222222,15,-999,-999,-999
2021,8,8,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,38.333332,-999,-999,35,28.88889,33.333332,-999,-999,-999,-999,14.444445,-999,-999,11.111111,12.222222,13.888889,-999,-999,-999
2021,8,9,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,38.333332,-999,-999,31.11111,30.555555,31.666666,-999,-999,-999,-999,13.888889,-999,-999,11.111111,11.111111,13.888889,-999,-999,-999
2021,8,10,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,40,-999,-999,32.77778,34.444443,33.333332,-999,-999,-999,-999,13.888889,-999,-999,10.555555,12.222222,11.666667,-999,-999,-999
2021,8,11,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,41.11111,-999,-999,36.666668,31.11111,37.22222,-999,-999,-999,-999,15,-999,-999,11.666667,12.222222,11.666667,-999,-999,-999
2021,8,12,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,41.11111,-999,-999,35,27.222221,35,-999,-999,-999,-999,16.11111,-999,-999,12.222222,12.777778,13.888889,-999,-999,-999
2021,8,13,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,36.11111,-999,-999,30.555555,28.333334,30.555555,-999,-999,-999,-999,16.666666,-999,-999,12.777778,13.333333,13.333333,-999,-999,-999
2021,8,14,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,40,-999,-999,30.555555,32.22222,31.666666,-999,-999,-999,-999,15.555555,-999,-999,12.222222,13.333333,13.333333,-999,-999,-999
2021,8,15,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,43.88889,-999,-999,37.22222,34.444443,37.77778,-999,-999,-999,-999,15.555555,-999,-999,14.444445,12.777778,14.444445,-999,-999,-999
2021,8,16,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,43.88889,-999,-999,40,39.444443,38.333332,-999,-999,-999,-999,17.777779,-999,-999,13.333333,18.333334,14.444445,-999,-999,-999
2021,8,17,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,38.333332,-999,-999,38.333332,32.77778,40,-999,-999,-999,-999,13.888889,-999,-999,14.444445,13.888889,15,-999,-999,-999
2021,8,18,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,33.333332,-999,-999,33.88889,27.222221,-999,-999,-999,-999,-999,11.666667,-999,-999,17.222221,12.222222,-999,-999,-999,-999
2021,8,19,0,0,0,-999,0,-999,-999,0,0,0,-999,-999,-999,-999,34.444443,-999,-999,30.555555,25.555555,29.444445,-999,-999,-999,-999,11.111111,-999,-999,12.222222,11.111111,11.666667,-999,-999,-999
2021,8,20,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,34.444443,-999,-999,29.444445,23.88889,-999,-999,-999,-999,-999,13.333333,-999,-999,11.666667,12.777778,-999,-999,-999,-999
2021,8,21,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,33.88889,-999,-999,26.666666,22.222221,-999,-999,-999,-999,-999,11.111111,-999,-999,13.333333,13.333333,-999,-999,-999,-999
2021,8,22,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,31.666666,-999,-999,23.333334,26.666666,-999,-999,-999,-999,-999,10.555555,-999,-999,11.666667,12.777778,-999,-999,-999,-999
2021,8,23,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,32.22222,-999,-999,27.777779,23.88889,-999,-999,-999,-999,-999,10.555555,-999,-999,12.777778,12.222222,-999,-999,-999,-999
2021,8,24,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,32.22222,-999,-999,25.555555,26.666666,-999,-999,-999,-999,-999,10,-999,-999,10.555555,11.666667,-999,-999,-999,-999
2021,8,25,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,32.77778,-999,-999,28.333334,27.777779,-999,-999,-999,-999,-999,8.333333,-999,-999,10.555555,12.222222,-999,-999,-999,-999
2021,8,26,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,33.88889,-999,-999,30,34.444443,-999,-999,-999,-999,-999,10,-999,-999,8.888889,8.888889,-999,-999,-999,-999
2021,8,27,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,37.22222,-999,-999,35.555557,37.77778,-999,-999,-999,-999,-999,11.111111,-999,-999,15,13.333333,-999,-999,-999,-999
2021,8,28,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,40.555557,-999,-999,38.333332,40,-999,-999,-999,-999,-999,12.222222,-999,-999,15.555555,13.888889,-999,-999,-999,-999
2021,8,29,0,0,0,-999,0,-999,-999,0,0,-999,-999,-999,-999,-999,40.555557,-999,-999,40,34.444443,-999,-999,-999,-999,-999,13.333333,-999,-999,13.888889,13.333333,-999,-999,-999,-999
2021,8,30,0,0,0,-999,0,-999,-999,0,-999,-999,-999,-999,-999,-999,39.444443,-999,-999,37.22222,-999,-999,-999,-999,-999,-999,11.666667,-999,-999,10,-999,-999,-999,-999,-999
2021,8,31,0,0,0,-999,0,-999,-999,0,-999,-999,-999,-999,-999,-999,37.22222,-999,-999,35,-999,-999,-999,-999,-999,-999,9.444445,-999,-999,10.555555,-999,-999,-999,-999,-999
