LATITUDE,LONGITUDE,STATION_ID,SRP_PRECIP_NAME,SRP_TMIN_NAME,SRP_TMAX_NAME
38.40355,-122.79993,CIMIS_83,PRECIP1,TMIN1,TMAX1
38.52665,-122.813758,CIMIS_103,PRECIP2,TMIN2,TMAX2
