"APPLICATION_NUMBER","WATER_RIGHT_ID","YEAR","MONTH","AMOUNT","DIVERSION_TYPE","ASSIGNED_PRIORITY_DATE"
"A003601",576,2021,12,0,"DIRECT","19230820"
"A003601",576,2022,1,0,"STORAGE","19230820"
"A003601",576,2022,1,0,"DIRECT","19230820"
"A003601",576,2022,2,0,"DIRECT","19230820"
"A003601",576,2022,2,0,"STORAGE","19230820"
"A003601",576,2022,3,0,"DIRECT","19230820"
"A003601",576,2022,3,0,"STORAGE","19230820"
"A003601",576,2022,4,0,"DIRECT","19230820"
"A003601",576,2022,4,0,"STORAGE","19230820"
"A003601",576,2022,5,0,"STORAGE","19230820"
"A003601",576,2022,5,0,"DIRECT","19230820"
"A003601",576,2022,6,0,"STORAGE","19230820"
"A003601",576,2022,6,10.7,"DIRECT","19230820"
"A003601",576,2022,7,0,"STORAGE","19230820"
"A003601",576,2022,7,11,"DIRECT","19230820"
"A003601",576,2022,8,5.4,"DIRECT","19230820"
"A003601",576,2022,8,0,"STORAGE","19230820"
"A003601",576,2022,9,0,"STORAGE","19230820"
"A003601",576,2022,9,0,"DIRECT","19230820"
"A003601",576,2022,10,0,"STORAGE","19230820"
"A003601",576,2022,10,0,"DIRECT","19230820"
"A003601",576,2022,11,0,"STORAGE","19230820"
"A003601",576,2022,11,0,"DIRECT","19230820"
"A003601",576,2022,12,0,"STORAGE","19230820"
"A003601",576,2022,12,0,"DIRECT","19230820"
"A011846",2838,2017,1,0,"STORAGE","19470428"
"A011846",2838,2017,1,0,"DIRECT","19470428"
"A011846",2838,2017,2,0,"DIRECT","19470428"
"A011846",2838,2017,2,0,"STORAGE","19470428"
"A011846",2838,2017,3,2,"DIRECT","19470428"
"A011846",2838,2017,3,0,"STORAGE","19470428"
"A011846",2838,2017,4,7.5,"DIRECT","19470428"
"A011846",2838,2017,4,0,"STORAGE","19470428"
"A011846",2838,2017,5,0,"STORAGE","19470428"
"A011846",2838,2017,5,9,"DIRECT","19470428"
"A011846",2838,2017,6,0,"STORAGE","19470428"
"A011846",2838,2017,6,10,"DIRECT","19470428"
"A011846",2838,2017,7,11,"DIRECT","19470428"
"A011846",2838,2017,7,0,"STORAGE","19470428"
"A011846",2838,2017,8,0,"STORAGE","19470428"
"A011846",2838,2017,8,13,"DIRECT","19470428"
"A011846",2838,2017,9,8,"DIRECT","19470428"
"A011846",2838,2017,9,0,"STORAGE","19470428"
"A011846",2838,2017,10,0,"STORAGE","19470428"
"A011846",2838,2017,10,10,"DIRECT","19470428"
"A011846",2838,2017,11,7,"DIRECT","19470428"
"A011846",2838,2017,11,0,"STORAGE","19470428"
"A011846",2838,2017,12,0,"STORAGE","19470428"
"A011846",2838,2017,12,0,"DIRECT","19470428"
"A011846",2838,2018,1,0,"STORAGE","19470428"
"A011846",2838,2018,1,0,"DIRECT","19470428"
"A011846",2838,2018,2,0,"DIRECT","19470428"
"A011846",2838,2018,2,0,"STORAGE","19470428"
"A011846",2838,2018,3,0,"STORAGE","19470428"
"A011846",2838,2018,3,0,"DIRECT","19470428"
"A011846",2838,2018,4,0,"STORAGE","19470428"
"A011846",2838,2018,4,0,"DIRECT","19470428"
"A011846",2838,2018,5,0,"DIRECT","19470428"
"A011846",2838,2018,5,0,"STORAGE","19470428"
"A011846",2838,2018,6,0,"STORAGE","19470428"
"A011846",2838,2018,6,0,"DIRECT","19470428"
"A011846",2838,2018,7,0,"DIRECT","19470428"
"A011846",2838,2018,7,0,"STORAGE","19470428"
"A011846",2838,2018,8,0,"DIRECT","19470428"
"A011846",2838,2018,8,0,"STORAGE","19470428"
"A011846",2838,2018,9,0,"DIRECT","19470428"
"A011846",2838,2018,9,0,"STORAGE","19470428"
"A011846",2838,2018,10,0,"STORAGE","19470428"
"A011846",2838,2018,10,0,"DIRECT","19470428"
"A011846",2838,2018,11,0,"DIRECT","19470428"
"A011846",2838,2018,11,0,"STORAGE","19470428"
"A011846",2838,2018,12,0,"DIRECT","19470428"
"A011846",2838,2018,12,0,"STORAGE","19470428"
"A011846",2838,2019,1,0,"DIRECT","19470428"
"A011846",2838,2019,1,0,"STORAGE","19470428"
"A011846",2838,2019,2,0,"STORAGE","19470428"
"A011846",2838,2019,2,0,"DIRECT","19470428"
"A011846",2838,2019,3,0,"STORAGE","19470428"
"A011846",2838,2019,3,0,"DIRECT","19470428"
"A011846",2838,2019,4,0,"STORAGE","19470428"
"A011846",2838,2019,4,0,"DIRECT","19470428"
"A011846",2838,2019,5,0,"DIRECT","19470428"
"A011846",2838,2019,5,0,"STORAGE","19470428"
"A011846",2838,2019,6,0,"STORAGE","19470428"
"A011846",2838,2019,6,0,"DIRECT","19470428"
"A011846",2838,2019,7,0,"STORAGE","19470428"
"A011846",2838,2019,7,0,"DIRECT","19470428"
"A011846",2838,2019,8,0,"STORAGE","19470428"
"A011846",2838,2019,8,0,"DIRECT","19470428"
"A011846",2838,2019,9,0,"STORAGE","19470428"
"A011846",2838,2019,9,0,"DIRECT","19470428"
"A011846",2838,2019,10,0,"STORAGE","19470428"
"A011846",2838,2019,10,0,"DIRECT","19470428"
"A011846",2838,2019,11,0,"DIRECT","19470428"
"A011846",2838,2019,11,0,"STORAGE","19470428"
"A011846",2838,2019,12,0,"DIRECT","19470428"
"A011846",2838,2019,12,0,"STORAGE","19470428"
"A011846",2838,2020,1,0,"DIRECT","19470428"
"A011846",2838,2020,1,0,"STORAGE","19470428"
"A011846",2838,2020,2,0,"STORAGE","19470428"
"A011846",2838,2020,2,0,"DIRECT","19470428"
"A011846",2838,2020,3,0,"DIRECT","19470428"
"A011846",2838,2020,3,0,"STORAGE","19470428"
"A011846",2838,2020,4,0,"STORAGE","19470428"
"A011846",2838,2020,4,0,"DIRECT","19470428"
"A011846",2838,2020,5,0,"STORAGE","19470428"
"A011846",2838,2020,5,0,"DIRECT","19470428"
"A011846",2838,2020,6,0,"DIRECT","19470428"
"A011846",2838,2020,6,0,"STORAGE","19470428"
"A011846",2838,2020,7,0,"STORAGE","19470428"
"A011846",2838,2020,7,0,"DIRECT","19470428"
"A011846",2838,2020,8,0,"DIRECT","19470428"
"A011846",2838,2020,8,0,"STORAGE","19470428"
"A011846",2838,2020,9,0,"STORAGE","19470428"
"A011846",2838,2020,9,0,"DIRECT","19470428"
"A011846",2838,2020,10,0,"STORAGE","19470428"
"A011846",2838,2020,10,0,"DIRECT","19470428"
"A011846",2838,2020,11,0,"STORAGE","19470428"
"A011846",2838,2020,11,0,"DIRECT","19470428"
"A011846",2838,2020,12,0,"DIRECT","19470428"
"A011846",2838,2020,12,0,"STORAGE","19470428"
