"APPLICATION_NUMBER","WATER_RIGHT_TYPE","PRIORITY_DATE","APPLICATION_RECD_DATE","APPLICATION_ACCEPTANCE_DATE","SUB_TYPE","YEAR_DIVERSION_COMMENCED"
"S026690","Statement of Div and Use","","06/29/2017","08/07/2017","RIPERIAN,",2014
"S026792","Statement of Div and Use","","06/28/2017","08/11/2017","RIPERIAN,",1993
"S026853","Statement of Div and Use","","06/30/2017","08/17/2017","RIPERIAN,",1976
"S027081","Statement of Div and Use","","06/29/2017","08/31/2017","RIPERIAN,",1984
"S027091","Statement of Div and Use","","06/29/2017","08/31/2017","RIPERIAN,",1999
"S027251","Statement of Div and Use","","07/03/2017","09/15/2017","RIPERIAN,PRE1914,",1910
"S027304","Statement of Div and Use","","06/30/2017","09/22/2017","RIPERIAN,",2001
"S027456","Statement of Div and Use","","10/23/2017","10/26/2017","RIPERIAN,",2000
"S027491","Statement of Div and Use","","10/29/2017","11/01/2017","RIPERIAN,",1972
"S027572","Statement of Div and Use","","10/31/2017","11/17/2017","RIPERIAN,",1970
"S027597","Statement of Div and Use","","10/30/2017","11/28/2017","RIPERIAN,",2015
"S027650","Statement of Div and Use","","10/30/2017","04/23/2018","RIPERIAN,",2010
"S027747","Statement of Div and Use","","03/06/2018","06/15/2018","RIPERIAN,",2011
"S027768","Statement of Div and Use","","05/21/2018","06/26/2018","RIPERIAN,",2015
"S027965","Statement of Div and Use","","07/01/2018","10/01/2018","RIPERIAN,",2017
"S027997","Statement of Div and Use","","10/08/2018","10/16/2018","RIPERIAN,",1970
"S028034","Statement of Div and Use","","11/26/2018","12/04/2018","RIPERIAN,",1996
"S028035","Statement of Div and Use","","11/26/2018","12/04/2018","RIPERIAN,PRE1914,",2017
"S028257","Statement of Div and Use","","09/27/2019","10/09/2019","RIPERIAN,",1970
"S028364","Statement of Div and Use","","04/14/2020","09/15/2020","RIPERIAN,",2014
