APPLICATION_NUMBER,WATER_RIGHT_TYPE
C000587,Stockpond
A030303,Appropriative
A030303,Appropriative
A029017,Appropriative
C000589,Stockpond
S002541,Statement of Div and Use
D032997,Registration Domestic
S023014,Statement of Div and Use
S000482,Statement of Div and Use
D031354R,Registration Domestic
A024527,Appropriative
C000583,Stockpond
S001799,Statement of Div and Use
A030753,Appropriative
A012709,Appropriative
A024527,Appropriative
S000053,Statement of Div and Use
D030864R,Registration Domestic
S012480,Statement of Div and Use
C000581,Stockpond
C000582,Stockpond
A026918,Appropriative
A024076,Appropriative
S008083,Statement of Div and Use
H032546,Registration Irrigation
A027151,Appropriative
C000580,Stockpond
A029017,Appropriative
A030303,Appropriative
C000586,Stockpond
C000579,Stockpond
A017315,Appropriative
A029274,Appropriative
A024125,Appropriative
A024647,Appropriative
C000584,Stockpond
C000585,Stockpond
A027026,Appropriative
A022533,Appropriative
A020451,Appropriative
A029035,Appropriative
S001620,Statement of Div and Use
C000604,Stockpond
H033123,Registration Irrigation
S023915,Statement of Div and Use
A023522,Appropriative
S015025,Statement of Div and Use
A026944,Appropriative
A024994,Appropriative
S015601,Statement of Div and Use
A019036,Appropriative
A029035,Appropriative
A026788,Appropriative
A024456A,Appropriative
S008874,Statement of Div and Use
A025332,Appropriative
A024397A,Appropriative
A029275,Appropriative
A030825,Appropriative
D031130R,Registration Domestic
A030206,Appropriative
A030825,Appropriative
H033068,Registration Irrigation
S013828,Statement of Div and Use
A025448,Appropriative
S000481,Statement of Div and Use
A026444,Appropriative
A024334A,Appropriative
A026444,Appropriative
A024397A,Appropriative
A025448,Appropriative
A000631,Appropriative
S015457,Statement of Div and Use
S016769,Statement of Div and Use
C001144,Stockpond
S000094,Statement of Div and Use
S002078,Statement of Div and Use
S016770,Statement of Div and Use
A026502,Appropriative
S025534,Statement of Div and Use
A026572,Appropriative
A026186,Appropriative
S021468,Statement of Div and Use
S022632,Statement of Div and Use
A030196,Appropriative
A030196,Appropriative
A024285,Appropriative
S015308,Statement of Div and Use
A014975,Appropriative
A024020,Appropriative
S017298,Statement of Div and Use
A026186,Appropriative
A025449,Appropriative
A030678,Appropriative
S007896,Statement of Div and Use
A028224,Appropriative
S007972,Statement of Div and Use
S022633,Statement of Div and Use
A025449,Appropriative
D030481R,Registration Domestic
S028227,Statement of Div and Use
S022596,Statement of Div and Use
A029909,Appropriative
S002270,Statement of Div and Use
A026423,Appropriative
A029182,Appropriative
A027954,Appropriative
A024020,Appropriative
A024693A,Appropriative
A030929,Appropriative
A024358,Appropriative
A018197,Appropriative
A024380,Appropriative
A026424,Appropriative
A014118,Appropriative
S013398,Statement of Div and Use
S016780,Statement of Div and Use
A002914,Appropriative
A029909,Appropriative
S013183,Statement of Div and Use
A024380,Appropriative
A024380,Appropriative
A020902,Appropriative
A025078,Appropriative
A023863,Appropriative
A024072,Appropriative
A024380,Appropriative
A024046,Appropriative
A020645,Appropriative
A023059,Appropriative
A014489,Appropriative
A024505,Appropriative
A023775,Appropriative
A023775,Appropriative
A024020,Appropriative
D032034,Registration Domestic
A025712,Appropriative
A024277A,Appropriative
A017875,Appropriative
S027354,Statement of Div and Use
A021571,Appropriative
A023333C01,Appropriative
A022896,Appropriative
A024693A,Appropriative
A024693B,Appropriative
A023886B,Appropriative
A024693A,Appropriative
S008445,Statement of Div and Use
A023333C02,Appropriative
S002272,Statement of Div and Use
A018984,Appropriative
S002273,Statement of Div and Use
S015077,Statement of Div and Use
A018991,Appropriative
D031009R,Registration Domestic
S015531,Statement of Div and Use
S015552,Statement of Div and Use
S024685,Statement of Div and Use
S027289,Statement of Div and Use
A027445,Appropriative
A023886A,Appropriative
A003172,Appropriative
A025712,Appropriative
S007748,Statement of Div and Use
S008235,Statement of Div and Use
S015040,Statement of Div and Use
S015078,Statement of Div and Use
S022511,Statement of Div and Use
S022504,Statement of Div and Use
S022334,Statement of Div and Use
A023627,Appropriative
A019184,Appropriative
D032252,Registration Domestic
S008196,Statement of Div and Use
A018539,Appropriative
S002349,Statement of Div and Use
A024307,Appropriative
A024443,Appropriative
S027874,Statement of Div and Use
A021010,Appropriative
A023887,Appropriative
A017723,Appropriative
D031604R,Registration Domestic
A016367,Appropriative
S014184,Statement of Div and Use
A026643,Appropriative
S022284,Statement of Div and Use
S022289,Statement of Div and Use
S028226,Statement of Div and Use
S022285,Statement of Div and Use
S008269,Statement of Div and Use
S015760,Statement of Div and Use
A020775,Appropriative
S008237,Statement of Div and Use
S008238,Statement of Div and Use
A023511,Appropriative
A024442A,Appropriative
A024442B,Appropriative
A029413,Appropriative
S016884,Statement of Div and Use
S015138,Statement of Div and Use
S016883,Statement of Div and Use
A029413,Appropriative
S016891,Statement of Div and Use
S008236,Statement of Div and Use
S008404,Statement of Div and Use
A012675,Appropriative
A019218,Appropriative
S021594,Statement of Div and Use
S021595,Statement of Div and Use
A030356,Appropriative
A026675,Appropriative
A027783,Appropriative
A029475,Appropriative
S021593,Statement of Div and Use
A012675,Appropriative
A029740,Appropriative
A029740,Appropriative
S021592,Statement of Div and Use
A028282,Appropriative
A029294,Appropriative
A028611,Appropriative
S021596,Statement of Div and Use
A024756,Appropriative
A029294,Appropriative
A023888,Appropriative
A024917,Appropriative
A026019,Appropriative
A024917,Appropriative
A026019,Appropriative
D030582R,Registration Domestic
S000073,Statement of Div and Use
S016042,Statement of Div and Use
D031188R,Registration Domestic
A025447,Appropriative
A022586,Appropriative
A024018,Appropriative
A027444,Appropriative
A024018,Appropriative
A027444,Appropriative
A023308,Appropriative
A023308,Appropriative
L032118,Registration Livestock
A024022,Appropriative
A024124,Appropriative
A030242,Appropriative
S005539,Statement of Div and Use
A022999,Appropriative
A024836,Appropriative
S005538,Statement of Div and Use
A023984,Appropriative
A027295,Appropriative
A029328,Appropriative
A024327,Appropriative
A021871,Appropriative
S005537,Statement of Div and Use
A023777,Appropriative
S015370,Statement of Div and Use
A022384,Appropriative
A027295,Appropriative
A027296,Appropriative
A029328,Appropriative
D030944R,Registration Domestic
A029316,Appropriative
A027295,Appropriative
A028794,Appropriative
A020372,Appropriative
A027296,Appropriative
A028794,Appropriative
A018801,Appropriative
S015495,Statement of Div and Use
A030293,Appropriative
A025485A,Appropriative
A025486A,Appropriative
A020977,Appropriative
S015499,Statement of Div and Use
A023843,Appropriative
A030102,Appropriative
A010456,Appropriative
D029506R,Registration Domestic
L032063,Registration Livestock
S028545,Statement of Div and Use
A027607,Appropriative
A027607,Appropriative
A030293,Appropriative
A017841,Appropriative
A029238,Appropriative
A029238,Appropriative
C000865,Stockpond
A023896,Appropriative
S008136,Statement of Div and Use
A025186,Appropriative
A023774,Appropriative
A023889B,Appropriative
A023889A,Appropriative
A023754A,Appropriative
A023754B,Appropriative
A023528,Appropriative
S001797,Statement of Div and Use
A023867,Appropriative
A023885,Appropriative
D030559R,Registration Domestic
S008231,Statement of Div and Use
A023883,Appropriative
A023883,Appropriative
D030919R,Registration Domestic
A023987,Appropriative
A025833A,Appropriative
A026238A,Appropriative
A027351,Appropriative
A029825A,Appropriative
S002271,Statement of Div and Use
S008267,Statement of Div and Use
A029825B,Appropriative
A022838,Appropriative
S016733,Statement of Div and Use
S022679,Statement of Div and Use
A024433A03,Appropriative
A024433B03,Appropriative
S022681,Statement of Div and Use
A026508,Appropriative
A027298,Appropriative
A023930,Appropriative
A026453A,Appropriative
A026453B,Appropriative
A022458,Appropriative
A024757,Appropriative
D032686,Registration Domestic
A022095,Appropriative
S016620,Statement of Div and Use
S022723,Statement of Div and Use
S022680,Statement of Div and Use
L032186,Registration Livestock
A029037,Appropriative
A029038,Appropriative
S016621,Statement of Div and Use
D032067,Registration Domestic
A020616,Appropriative
L032186,Registration Livestock
A024287,Appropriative
A010990,Appropriative
A025317,Appropriative
A005463,Appropriative
A030096,Appropriative
A015774,Appropriative
A027841,Appropriative
A029775,Appropriative
A024408,Appropriative
A024516A,Appropriative
S019937,Statement of Div and Use
A015774,Appropriative
A029775,Appropriative
S001810,Statement of Div and Use
A029495,Appropriative
S016771,Statement of Div and Use
A026808,Appropriative
A029495,Appropriative
A029495,Appropriative
A029025,Appropriative
A029024,Appropriative
A002236,Appropriative
S028292,Statement of Div and Use
S025737,Statement of Div and Use
S025744,Statement of Div and Use
A029024,Appropriative
S025742,Statement of Div and Use
D030599R,Registration Domestic
S001579,Statement of Div and Use
A028151,Appropriative
A028152,Appropriative
A030490,Appropriative
A030491,Appropriative
D032035,Registration Domestic
D030461R,Registration Domestic
A028151,Appropriative
A028152,Appropriative
A029689,Appropriative
A028151,Appropriative
A028152,Appropriative
A030490,Appropriative
A030491,Appropriative
S018392,Statement of Div and Use
A028151,Appropriative
A028152,Appropriative
A030485,Appropriative
A030486,Appropriative
S028220,Statement of Div and Use
A030513,Appropriative
A030514,Appropriative
A023820,Appropriative
S023745,Statement of Div and Use
A022073,Appropriative
A029534,Appropriative
S017092,Statement of Div and Use
D032036,Registration Domestic
