APPLICATION_NUMBER,WATER_RIGHT_TYPE
A000027,Appropriative
A000027,Appropriative
A000027,Appropriative
A000230A,Appropriative
A000230A,Appropriative
A000230B,Appropriative
A000244,Appropriative
A000462,Appropriative
A000476,Appropriative
A000476,Appropriative
A000640,Appropriative
A000770,Appropriative
A000892,Appropriative
A001179,Appropriative
A001617,Appropriative
A001653,Appropriative
A001976,Appropriative
A005629,Appropriative
A005630,Appropriative
A006743,Appropriative
A006743,Appropriative
A006933,Appropriative
A008213,Appropriative
A008422,Appropriative
A008422,Appropriative
A008631,Appropriative
A008631,Appropriative
A009216,Appropriative
A010529,Appropriative
A011274,Appropriative
A011384,Appropriative
A012120,Appropriative
A012855,Appropriative
A014205,Appropriative
A014443,Appropriative
A014619,Appropriative
A015452,Appropriative
A015802,Appropriative
A015981,Appropriative
A018005,Appropriative
A018005,Appropriative
A020429,Appropriative
A022061,Appropriative
A023201,Appropriative
A023201,Appropriative
A023876,Appropriative
A023876,Appropriative
A024001,Appropriative
A025554,Appropriative
A027508,Appropriative
A028238,Appropriative
A030445,Appropriative
A030812,Appropriative
A030813,Appropriative
A031433,Appropriative
C001511,Stockpond
C001512,Stockpond
F003378S,Federal Claims
F005180S,Federal Claims
F005181S,Federal Claims
S000888,Statement of Div and Use
S000892,Statement of Div and Use
S000916,Statement of Div and Use
S001251,Statement of Div and Use
S001252,Statement of Div and Use
S001276,Statement of Div and Use
S001292,Statement of Div and Use
S001295,Statement of Div and Use
S001297,Statement of Div and Use
S001298,Statement of Div and Use
S001299,Statement of Div and Use
S001302,Statement of Div and Use
S001304,Statement of Div and Use
S001305,Statement of Div and Use
S005221,Statement of Div and Use
S005222,Statement of Div and Use
S008459,Statement of Div and Use
S009460,Statement of Div and Use
S009461,Statement of Div and Use
S009640,Statement of Div and Use
S009896,Statement of Div and Use
S009897,Statement of Div and Use
S010848,Statement of Div and Use
S011483,Statement of Div and Use
S011484,Statement of Div and Use
S012345,Statement of Div and Use
S012353,Statement of Div and Use
S012354,Statement of Div and Use
S012362,Statement of Div and Use
S012365,Statement of Div and Use
S012367,Statement of Div and Use
S012368,Statement of Div and Use
S012370,Statement of Div and Use
S013566,Statement of Div and Use
S013608,Statement of Div and Use
S013630,Statement of Div and Use
S013663,Statement of Div and Use
S013669,Statement of Div and Use
S013672,Statement of Div and Use
S013676,Statement of Div and Use
S013693,Statement of Div and Use
S013749,Statement of Div and Use
S013880,Statement of Div and Use
S019191,Statement of Div and Use
S020164,Statement of Div and Use
S020165,Statement of Div and Use
S020167,Statement of Div and Use
S020168,Statement of Div and Use
S020169,Statement of Div and Use
S020170,Statement of Div and Use
S020212,Statement of Div and Use
S020214,Statement of Div and Use
S018089,Statement of Div and Use
S019619,Statement of Div and Use
S019622,Statement of Div and Use
S021223,Statement of Div and Use
S022155,Statement of Div and Use
S022237,Statement of Div and Use
S023044,Statement of Div and Use
S024483,Statement of Div and Use
S024484,Statement of Div and Use
S024518,Statement of Div and Use
S025067,Statement of Div and Use
S027432,Statement of Div and Use
S027973,Statement of Div and Use
S028174,Statement of Div and Use
S028334,Statement of Div and Use
S028335,Statement of Div and Use
S028438,Statement of Div and Use
S028549,Statement of Div and Use
S028941,Statement of Div and Use
S014800,Statement of Div and Use
