"APPLICATION_NUMBER","USE_STATUS","DIRECT_SEASON_START_MONTH_1","DIRECT_DIV_SEASON_END_MONTH_1","DIRECT_SEASON_START_MONTH_2","DIRECT_DIV_SEASON_END_MONTH_2","STORAGE_SEASON_START_MONTH_1","STORAGE_SEASON_END_MONTH_1","STORAGE_SEASON_START_MONTH_2","STORAGE_SEASON_END_MONTH_2"
"A015984","Migrated from old WRIMS data",5,11,NA,NA,NA,NA,NA,NA
"A015984","Migrated from old WRIMS data",1,12,NA,NA,NA,NA,NA,NA
"A016106","Requested when filed",NA,NA,NA,NA,10,4,NA,NA
"A016106","Requested when filed",NA,NA,NA,NA,10,4,NA,NA
"A016106","Requested when filed",NA,NA,NA,NA,10,4,NA,NA
"A016308","Migrated from old WRIMS data",6,11,NA,NA,NA,NA,NA,NA
"A016416","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A016440","Migrated from old WRIMS data",4,11,NA,NA,NA,NA,NA,NA
"A016443","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A016443","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A016443","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A016457","Requested when filed",4,12,NA,NA,NA,NA,NA,NA
"A016472","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A016545","Migrated from old WRIMS data",NA,NA,NA,NA,4,6,NA,NA
"A016973","Migrated from old WRIMS data",4,11,NA,NA,11,5,NA,NA
"A016973","Migrated from old WRIMS data",4,11,NA,NA,11,5,NA,NA
"A017081","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A017081","Migrated from old WRIMS data",4,10,NA,NA,NA,NA,NA,NA
"A017091C","Migrated from old WRIMS data",NA,NA,NA,NA,12,4,NA,NA
"A017091C","Migrated from old WRIMS data",NA,NA,NA,NA,12,4,NA,NA
"A017100","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A017237","Migrated from old WRIMS data",NA,NA,NA,NA,10,6,NA,NA
"A017237","Migrated from old WRIMS data",NA,NA,NA,NA,10,6,NA,NA
"A017263","Migrated from old WRIMS data",NA,NA,NA,NA,10,4,NA,NA
"A017477","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A017551","Migrated from old WRIMS data",6,10,NA,NA,NA,NA,NA,NA
"A017587","Migrated from old WRIMS data",11,7,NA,NA,NA,NA,NA,NA
"A017587","Migrated from old WRIMS data",11,7,NA,NA,NA,NA,NA,NA
"A017868","Migrated from old WRIMS data",6,10,NA,NA,NA,NA,NA,NA
"A017885","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A017978","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A017978","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A017978","Migrated from old WRIMS data",5,10,NA,NA,NA,NA,NA,NA
"A018274A","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A018274A","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A018274A","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A018274A","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A018274A","Migrated from old WRIMS data",NA,NA,NA,NA,12,5,NA,NA
"A018277","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
"A018277","Migrated from old WRIMS data",NA,NA,NA,NA,11,6,NA,NA
