APPLICATION_NUMBER,WATER_RIGHT_TYPE
A013989,Appropriative
A014010,Appropriative
A014030,Appropriative
A014033,Appropriative
A014033,Appropriative
A014033,Appropriative
A014034,Appropriative
A014043,Appropriative
A014044A,Appropriative
A014044B,Appropriative
A014045,Appropriative
A014047,Appropriative
A014048,Appropriative
A014049,Appropriative
A014050A,Appropriative
A014050B,Appropriative
A014051,Appropriative
A014051,Appropriative
A014054,Appropriative
A014055,Appropriative
A014055,Appropriative
A014055,Appropriative
A014056,Appropriative
A014056,Appropriative
A014061,Appropriative
A014064,Appropriative
A014065,Appropriative
A014065,Appropriative
A014066,Appropriative
A014067,Appropriative
A014068,Appropriative
A014068,Appropriative
A014068,Appropriative
A014068,Appropriative
A014092,Appropriative
A014107,Appropriative
A014119,Appropriative
A014136,Appropriative
A014144,Appropriative
A014160,Appropriative
A014172,Appropriative
A014178,Appropriative
A014206,Appropriative
A014208,Appropriative
A014215,Appropriative
A014245,Appropriative
A014246,Appropriative
A014259A,Appropriative
A014304,Appropriative
A014333,Appropriative
A014333,Appropriative
A014333,Appropriative
A014339,Appropriative
A014339,Appropriative
A014364,Appropriative
A014379,Appropriative
A014379,Appropriative
A014393,Appropriative
A014459,Appropriative
A014466,Appropriative
A014467,Appropriative
A014492,Appropriative
A014513,Appropriative
A014539,Appropriative
A014543,Appropriative
A014604,Appropriative
A014624,Appropriative
A014624,Appropriative
A014624,Appropriative
A014666,Appropriative
A014715,Appropriative
A014720,Appropriative
A014735,Appropriative
A014747,Appropriative
A014749,Appropriative
A014750,Appropriative
A014762,Appropriative
A014767,Appropriative
A014777,Appropriative
A014777,Appropriative
A014797,Appropriative
A014826,Appropriative
A014841,Appropriative
A014842,Appropriative
A014855,Appropriative
A014856,Appropriative
A014870,Appropriative
A014872,Appropriative
A014875,Appropriative
A014875,Appropriative
A014875,Appropriative
A014875,Appropriative
A014880,Appropriative
A014904,Appropriative
A014916A,Appropriative
A014916B,Appropriative
A014925,Appropriative
A014942,Appropriative
A014966,Appropriative
A014966,Appropriative
A014997A,Appropriative
A014997B,Appropriative
A015075,Appropriative
A015120,Appropriative
A015154A,Appropriative
A015154B,Appropriative
A015157,Appropriative
A015157,Appropriative
A015158A,Appropriative
A015158B,Appropriative
A015168,Appropriative
A015187,Appropriative
A015187,Appropriative
A015194,Appropriative
A015233,Appropriative
A015233,Appropriative
A015237,Appropriative
A015277,Appropriative
A015299,Appropriative
A015314,Appropriative
A015329A,Appropriative
A015329B,Appropriative
A015348,Appropriative
A015370,Appropriative
A015397,Appropriative
A015397,Appropriative
A015399,Appropriative
A015437,Appropriative
A015515,Appropriative
A015521,Appropriative
A015603,Appropriative
A015610,Appropriative
A015624,Appropriative
A015663,Appropriative
A015664A,Appropriative
A015664B,Appropriative
A015664C,Appropriative
A015677,Appropriative
A015677,Appropriative
A015678,Appropriative
A015678,Appropriative
A015685,Appropriative
A015704,Appropriative
A015704,Appropriative
A015704,Appropriative
A015720,Appropriative
A015721,Appropriative
A015724,Appropriative
A015726,Appropriative
A015727,Appropriative
A015728A,Appropriative
A015728A,Appropriative
A015728B,Appropriative
A015728B,Appropriative
A015729,Appropriative
A015729,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
A015736,Appropriative
