APPLICATION_NUMBER,effective_date,effective_from_date,effective_to_date
UN00183,04/30/2013,08/29/2011,NULL
UN00188,03/04/2014,08/31/2011,NULL
UN00197,11/07/2012,09/29/2011,NULL
UN00240,11/07/2012,08/18/2011,NULL
UN00244,04/26/2013,08/18/2011,NULL
UN00245,09/24/2018,NULL,NULL
WW0055,07/22/2010,08/31/2009,NULL
X002672,01/01/1500,03/03/1998,NULL
X002820,04/05/1999,11/03/1998,NULL
X002862,02/17/1999,03/04/1999,NULL
X002873,03/11/1999,02/11/1999,NULL
X002981,05/26/2005,07/26/1999,NULL
X003242,06/06/2001,03/05/2001,NULL
X003316,10/15/2001,NULL,NULL
X003352,05/09/2002,NULL,NULL
X003506,02/03/2004,12/13/2002,NULL
XC001729,06/26/2000,NULL,NULL
XC001739,08/08/2000,04/17/1998,NULL
XC001743,01/01/1500,04/17/1998,NULL
XC001770,01/01/1500,04/22/1998,NULL
XC001821,01/01/1500,04/27/1998,NULL
XC002090,12/22/2000,NULL,NULL
XC002206,01/01/1500,12/22/1998,NULL
XC002213,07/20/2000,NULL,NULL
XC002362,07/26/2000,NULL,NULL
XC002515,01/01/1500,12/18/1998,NULL
XC002521,01/01/1500,12/18/1998,NULL
XC002529,01/01/1500,12/18/1998,NULL
Z001493,10/17/1919,09/15/1994,NULL
A000016,02/19/1915,07/21/2006,NULL
A000026,05/08/1961,10/18/2023,NULL
A000027A,08/02/2005,09/15/1994,NULL
A000084,02/27/1923,11/27/2002,NULL
A000211,12/18/1915,07/24/1997,NULL
A000249,02/09/1916,09/15/1994,NULL
A000321,07/11/2005,09/15/1994,NULL
A000461,06/11/2018,05/21/2004,NULL
A000501,10/23/1916,12/02/2022,NULL
A000518,12/12/2005,09/15/1994,NULL
A000553,01/31/1928,06/16/2003,NULL
A000570,01/19/1917,09/15/1994,NULL
A000636,02/28/1923,09/15/1994,NULL
A000742,07/26/1917,08/18/2006,NULL
A000784,09/14/1917,09/15/1994,NULL
A000878,01/03/1918,09/15/1994,NULL
A000939,03/02/1918,08/04/1997,NULL
A000953,03/25/1918,09/15/1994,NULL
A000993,05/29/1918,09/15/1994,NULL
A001056,08/22/1918,09/15/1994,NULL
A001150,10/28/1924,02/23/2022,NULL
A001177,02/13/1919,01/30/1995,NULL
A001193,02/25/1919,09/15/1994,NULL
A001199,12/21/2012,09/21/2005,NULL
A001300,05/29/1919,08/25/2015,NULL
A001341,07/03/1919,09/15/1994,NULL
A001343,07/03/1919,09/15/1994,NULL
A001442B,09/10/1919,09/13/2019,NULL
A001492,10/17/1919,03/01/2022,NULL
A001554,12/03/1919,09/15/1994,NULL
A001562,12/08/1919,09/15/1994,NULL
A001651,01/05/1923,07/14/2003,NULL
A001675,10/30/1923,03/12/2020,NULL
A001692,03/25/2008,09/15/1994,NULL
A001730,03/22/1920,11/28/2006,NULL
A001765A,03/13/1972,09/15/1994,NULL
A001765B,04/09/1920,03/28/2017,NULL
A001879,03/28/1923,02/18/2015,NULL
A001892,03/09/1960,09/15/1994,NULL
A001906,07/07/1997,09/15/1994,NULL
A001920,06/16/1969,09/15/1994,NULL
A001933,01/14/1959,09/15/1994,NULL
A001983,08/26/1920,10/22/2003,NULL
A002030,05/23/1930,12/29/2020,NULL
A002039,12/19/1923,05/30/1997,NULL
A002085,10/24/1923,02/10/2017,NULL
A002221,02/21/1921,09/15/1994,NULL
A002283,05/15/1924,09/15/1994,NULL
A002317B,02/04/1980,09/15/1994,NULL
A002317C,02/04/1980,09/15/1994,NULL
A002318,08/26/1960,09/15/1994,NULL
A002328,10/01/1930,10/23/2003,NULL
A002472,08/05/1921,09/15/1994,NULL
A002576,10/06/1921,07/30/2004,NULL
A002661,11/30/1921,09/15/1994,NULL
A002668,11/30/1921,03/02/2018,NULL
A002681A,12/08/1921,09/15/1994,NULL
A002681B,12/08/1921,09/15/1994,NULL
A002696,12/21/1921,03/03/2021,NULL
A002718,06/05/1924,12/26/2002,NULL
A002826,04/21/1922,09/15/1994,NULL
A002924,07/10/1922,03/04/2002,NULL
A002951,07/28/1922,11/10/2014,NULL
A002955,04/10/1933,09/15/1994,NULL
A002978,08/12/1922,06/29/2015,NULL
A002990,08/16/1922,11/08/2016,NULL
A003096,10/23/1922,10/05/2013,NULL
A003121,11/03/1922,11/12/2013,NULL
A003254,02/09/1923,10/12/2015,NULL
A003268A,07/10/1998,03/07/2011,NULL
A003268B,08/12/1998,02/01/1999,NULL
A003321,03/23/1923,09/15/1994,NULL
A003323,03/24/1923,01/25/2023,NULL
A003402,03/07/2017,09/15/1994,NULL
A003430,05/21/1923,09/15/1994,NULL
A003518,07/10/1923,09/15/1994,NULL
A003544,04/03/1926,09/15/1994,NULL
A003565,08/03/1923,12/18/2009,NULL
A003686,10/23/1923,01/26/2023,NULL
A003701,11/01/1923,09/15/1994,NULL
A003707,10/08/2002,NULL,NULL
A003712,11/10/1923,05/08/2002,NULL
A003724,11/21/1923,11/26/2003,NULL
A003764,12/20/1923,06/16/2021,NULL
A003794,10/25/1968,09/15/1994,NULL
A003797,01/14/1924,12/08/1995,NULL
A003808,04/20/1944,09/15/1994,NULL
A003811,12/16/1927,08/19/2021,NULL
A003829,01/07/1931,12/16/2008,NULL
A003830,02/07/1924,09/15/1994,NULL
A003850,02/15/1924,09/15/1994,NULL
A003905,08/03/1940,09/15/1994,NULL
A003907,08/08/2023,04/11/2017,NULL
A003995,06/30/2020,09/15/1994,NULL
A004007,02/10/1933,11/10/2003,NULL
A004027,06/14/1924,07/20/1999,NULL
A004050,06/25/1924,07/07/2015,NULL
A004087,07/14/1924,08/31/2004,NULL
A004104,07/19/1924,10/20/2020,NULL
A004123,11/28/1933,02/23/2022,NULL
A004213,05/22/2020,09/15/1994,NULL
A004218B,05/01/1989,03/30/2010,NULL
A004226,06/28/1945,10/20/2022,NULL
A004234,09/24/1924,09/15/1994,NULL
A004285,10/29/1924,04/01/2020,NULL
A004307,03/30/1928,12/30/1994,NULL
A004309,11/07/1924,09/15/1994,NULL
A004405,12/17/1956,03/27/2018,NULL
A004452,01/30/1933,08/02/2023,NULL
A004464,10/11/1943,05/30/2012,NULL
A004471,04/20/1933,09/09/2021,NULL
A004472,09/03/1940,09/15/1994,NULL
A004510,03/19/1925,11/13/2020,NULL
A004531,10/18/1928,09/15/1994,NULL
A004561,04/28/1925,07/01/2014,NULL
A004562,11/02/1951,03/23/2022,NULL
A004597C,08/20/2004,11/03/2015,NULL
A004654,06/24/1925,09/15/1994,NULL
A004752,09/17/1941,09/15/1994,NULL
A004847,11/27/1925,10/29/2002,NULL
A004851,11/30/1925,09/15/1994,NULL
A004862,11/27/1933,11/07/2019,NULL
A004868,12/19/1925,10/28/2002,NULL
A004872,01/02/1964,09/15/1994,NULL
A004890,01/16/1926,01/02/2004,NULL
A004901,03/01/1973,05/01/2013,NULL
A004942,04/15/1933,07/17/2006,NULL
A004943,03/05/1926,09/15/1994,NULL
A004944,03/05/1926,09/15/1994,NULL
A005004,04/30/1926,09/15/1994,NULL
A005031,05/21/1926,03/11/2005,NULL
A005044,06/07/1926,03/25/2019,NULL
A005050,06/10/1926,11/17/2004,NULL
A005137,07/31/1926,09/15/1994,NULL
A005153B,08/13/1926,08/20/2020,NULL
A005154,08/13/1926,09/15/1994,NULL
A005155,03/02/1944,04/04/2008,NULL
A005156,08/14/1926,09/15/1994,NULL
A005184,09/02/1926,09/18/2003,NULL
A005194,05/31/2012,09/15/1994,NULL
A005203,09/13/1926,09/15/1994,NULL
A005270,03/20/2018,09/15/1994,NULL
A005303,12/09/1926,09/15/1994,NULL
A005356,12/05/1930,04/26/2018,NULL
A005385,03/19/1927,12/30/1994,NULL
A005425,04/22/1927,02/06/1995,NULL
A005455,05/02/1927,09/15/1994,NULL
A005591,12/09/2004,09/15/1994,NULL
A005596,06/05/2008,12/06/1995,NULL
A005618,07/23/1927,09/15/1994,NULL
A005627,07/30/1927,09/15/1994,NULL
A005639SF,07/30/1927,09/15/1994,NULL
A005642SF,07/30/1927,09/15/1994,NULL
A005645X10,03/27/1997,NULL,NULL
A005645X12,02/26/2008,02/08/2019,NULL
A005648C02,09/17/1976,03/28/2022,NULL
A005648C15,02/21/1985,09/15/1994,NULL
A005648F,07/30/1927,09/15/1994,NULL
A005728,10/19/1927,09/15/1994,NULL
A005804,01/13/1928,09/15/1994,NULL
A005868,10/08/2002,NULL,NULL
A005890,04/25/1928,12/04/1995,NULL
A005989,07/19/1928,09/13/2022,NULL
A006010,07/15/1933,04/19/2006,NULL
A006050,09/12/1928,09/15/1994,NULL
A006074,09/28/1928,09/15/1994,NULL
A006099,10/19/1928,09/15/1994,NULL
A006154A,07/13/2011,07/13/2011,NULL
A006160,01/14/1929,07/18/2007,NULL
A006259,12/13/2000,09/15/1994,NULL
A006286,05/13/1929,09/15/1994,NULL
A006304,05/27/1929,09/15/1994,NULL
A006332,06/19/1929,09/15/1994,NULL
A006334,06/21/1929,09/15/1994,NULL
A006383,07/23/1929,09/15/1994,NULL
A006412,08/17/1929,12/23/2020,NULL
A006430A,11/22/1983,11/20/2012,NULL
A006430B,11/22/1983,11/21/2001,NULL
A006440,09/18/1929,08/19/2005,NULL
A006464,10/21/1929,02/28/2023,NULL
A006467,10/26/1929,01/30/2006,NULL
A006537,01/17/1930,09/15/1994,NULL
A006582,03/18/1947,11/01/2021,NULL
A006599,03/14/1930,05/26/2006,NULL
A006623,04/05/1930,09/15/1994,NULL
A006626,04/09/1930,09/15/1994,NULL
A006627,04/09/1930,09/15/1994,NULL
A006716,06/30/1930,01/14/1998,NULL
A006725,07/10/1930,10/12/2011,NULL
A006738,06/05/2003,09/15/1994,NULL
A006743,07/21/1930,09/15/1994,NULL
A006762,01/27/2020,02/23/1996,NULL
A006788,09/05/1930,11/03/2003,NULL
A006801,09/20/1930,07/09/1997,NULL
A006825,04/23/1940,06/29/2019,NULL
A006840,01/06/1950,03/25/1998,NULL
A006877A,01/24/1931,03/16/2015,NULL
A006883,02/02/1931,04/18/2023,NULL
A006884,02/04/1931,06/04/2002,NULL
A006899,02/26/1931,09/15/1994,NULL
A006980,06/18/1931,02/08/2023,NULL
A006990,07/02/1931,09/15/1994,NULL
A007035,07/01/2021,09/15/1994,NULL
A007036,08/10/1931,02/28/2012,NULL
A007108A,08/05/1940,04/07/2021,NULL
A007110,11/02/1931,09/15/1994,NULL
A007124,11/13/1931,09/25/2007,NULL
A007150,12/16/1931,09/15/1994,NULL
A007178,01/18/1932,09/15/1994,NULL
A007268,05/26/1932,09/15/1994,NULL
A007278,06/03/1932,09/15/1994,NULL
A007286,06/08/1932,05/12/2014,NULL
A007287,11/22/2006,03/28/2000,NULL
A007308,06/29/1932,06/24/2009,NULL
A007370,09/08/1932,09/26/2006,NULL
A007392,04/21/2023,09/15/1994,NULL
A007512,01/08/2008,09/15/1994,NULL
A007519,03/21/1933,09/15/1994,NULL
A007641D2,01/05/2001,03/03/2008,NULL
A007647,08/14/1933,03/25/2003,NULL
A007657,08/28/1933,07/20/2007,NULL
A007701,10/06/1933,09/15/1994,NULL
A007716,10/31/2000,NULL,NULL
A007739,11/07/1933,03/25/1998,NULL
A007841,02/06/1934,09/15/1994,NULL
A007900,08/24/1939,02/20/2019,NULL
A007988G,12/30/1996,03/30/2018,NULL
A007995,06/28/1934,10/14/2005,NULL
A008060,09/22/1941,03/23/2016,NULL
A008098,09/11/1934,09/15/1994,NULL
A008180,11/27/1934,09/15/1994,NULL
A008188,12/01/1934,09/15/1994,NULL
A008246,02/18/1935,12/04/1995,NULL
A008247,02/18/1935,09/23/2019,NULL
A008377,07/02/1935,09/15/1994,NULL
A008409A,08/03/1935,01/03/2017,NULL
A008422,08/21/1935,06/08/2010,NULL
A008475,10/18/1935,09/15/1994,NULL
A008489A,11/08/1935,09/15/1994,NULL
A008489B,11/08/1935,09/15/1994,NULL
A008506,11/27/1935,09/15/1994,NULL
A008512A,05/28/1997,03/24/1986,NULL
A008537,01/22/1936,09/15/1994,NULL
A008582,03/11/1936,09/15/1994,NULL
A008649,04/27/1936,02/17/2011,NULL
A008739,04/27/2006,09/15/1994,NULL
A008811,10/17/1936,09/15/1994,NULL
A008822,10/30/1936,09/15/1994,NULL
A008843,12/05/1936,12/08/2008,NULL
A008867,07/13/2005,09/15/1994,NULL
A008873B,03/09/1999,03/09/1999,NULL
A008900,02/18/1937,09/15/1994,NULL
A008910,03/01/1937,08/18/2021,NULL
A008929,03/30/1937,09/15/1994,NULL
A008964,05/06/1937,09/15/1994,NULL
A009036,07/12/1937,07/27/2007,NULL
A009068,06/20/1947,12/02/2017,NULL
A009086,08/21/1937,09/15/1994,NULL
A009087,08/21/1937,09/15/1994,NULL
A009182,11/20/1937,09/15/1994,NULL
A009216,12/30/1937,09/15/1994,NULL
A009269,04/13/1938,09/15/1994,NULL
A009273,01/27/2012,12/19/1995,NULL
A009289,05/06/1938,09/15/1994,NULL
A009292,05/16/1938,01/06/2023,NULL
A009381,01/27/2012,09/15/1994,NULL
A009412,09/14/1938,09/15/1994,NULL
A009463,08/04/1942,09/15/1994,NULL
A009480,12/23/1938,09/15/1994,NULL
A009516,03/01/1939,09/15/1994,NULL
A009553,04/10/1939,09/03/2010,NULL
A009573,05/01/1939,06/24/2013,NULL
A009603,06/01/1939,04/28/2021,NULL
A009610,06/06/1939,06/25/2012,NULL
A009677,07/25/1939,07/22/2004,NULL
A009686,02/29/1952,11/08/2007,NULL
A009695,08/11/1939,10/28/2002,NULL
A009714,08/29/1939,01/20/2021,NULL
A009745,10/03/1939,09/15/1994,NULL
A009750,01/30/2013,07/07/2005,NULL
A009757,05/05/2015,10/29/2002,NULL
A009784,12/08/1939,10/27/2022,NULL
A009825,02/15/1940,12/01/2015,NULL
A009832A,02/22/1983,09/15/1994,NULL
A009891,08/04/2011,09/15/1994,NULL
A009931,06/14/1940,10/09/2003,NULL
A009935,06/21/1940,09/15/1994,NULL
A009973,08/10/1940,10/24/2016,NULL
A009987,08/22/1940,05/13/2016,NULL
A010004,09/16/1940,12/12/2008,NULL
A010011,04/08/1943,09/15/1994,NULL
A010020,09/28/1940,09/15/1994,NULL
A010048,10/23/1940,07/02/2009,NULL
A010055,11/08/1940,07/15/2004,NULL
A010068,01/04/2010,10/05/2005,NULL
A010105,01/29/1941,09/15/1994,NULL
A010113,02/10/1941,09/15/1994,NULL
A010119,02/17/1941,11/14/1996,NULL
A010129,02/20/1941,09/15/1994,NULL
A010136,08/23/2004,09/15/1994,NULL
A010182,04/09/1941,09/15/1994,NULL
A010216,10/09/1941,06/04/1941,NULL
A010255,08/21/1941,07/21/2021,NULL
A010282,09/12/1941,09/15/1994,NULL
A010313,11/03/1941,09/15/1994,NULL
A010324,02/16/2005,09/15/1994,NULL
A010360,01/13/1942,09/15/1994,NULL
A010452,05/06/1942,09/15/1994,NULL
A010463,05/16/1942,09/15/1994,NULL
A010464,09/05/2018,12/03/2004,NULL
A010479,11/04/2011,03/09/2007,NULL
A010485,09/15/2008,11/06/2003,NULL
A010489,07/03/1942,09/15/1994,NULL
A010491,07/08/1942,09/15/1994,NULL
A010492,07/09/1942,09/15/1994,NULL
A010496,07/15/1942,09/15/1994,NULL
A010502,07/15/1942,09/15/1994,NULL
A010507,07/16/1942,09/15/1994,NULL
A010531,09/02/1942,06/28/2013,NULL
A010550,10/19/1942,03/21/2014,NULL
A010553,11/04/1942,08/19/2021,NULL
A010591,01/20/1943,09/15/1994,NULL
A010619,03/24/1943,09/15/1994,NULL
A010642,05/01/1943,09/15/1994,NULL
A010702,08/21/1943,03/26/2018,NULL
A010751,01/18/1944,10/05/2009,NULL
A010766,02/14/1944,09/15/1994,NULL
A010769,02/16/1944,01/20/2023,NULL
A010787,03/20/1944,08/25/2023,NULL
A010797,04/11/1944,07/11/2008,NULL
A010808,05/02/1944,09/15/1994,NULL
A010818,05/17/1944,09/15/1994,NULL
A010819,05/17/1944,09/15/1994,NULL
A010827,06/05/1944,09/15/1994,NULL
A010831,06/16/1944,03/21/2014,NULL
A010835,07/07/1944,12/14/1994,NULL
A010871,08/28/1944,09/21/2011,NULL
A010914,11/15/1944,03/02/2018,NULL
A010939,02/16/2005,03/28/2000,NULL
A010949A,01/08/1945,09/15/1994,NULL
A010990,03/01/1945,09/15/1994,NULL
A011010,03/20/1945,09/15/1994,NULL
A011028,04/12/1945,09/15/1994,NULL
A011058,05/25/1945,11/30/2012,NULL
A011073,06/18/1945,09/15/1994,NULL
A011097,07/05/1945,02/04/2022,NULL
A011140,08/30/1945,12/15/2003,NULL
A011167,10/02/1945,09/15/1994,NULL
A011177,10/10/1945,10/23/2003,NULL
A011257,01/10/1946,07/22/2002,NULL
A011268B02,10/17/1949,09/13/2016,NULL
A011271,01/31/1946,09/15/1994,NULL
A011276,02/05/1946,08/11/2021,NULL
A011281,02/11/1946,09/15/1994,NULL
A011297,06/05/2008,09/15/1994,NULL
A011326,03/25/1946,10/11/2021,NULL
A011332,03/19/1958,09/15/1994,NULL
A011343,12/23/1974,09/15/1994,NULL
A011375,04/16/1946,09/15/1994,NULL
A011377,04/17/1946,10/22/2004,NULL
A011384,04/25/1946,12/26/2002,NULL
A011390,05/04/1946,11/25/2002,NULL
A011403,05/22/1946,10/25/2021,NULL
A011416,06/05/1946,11/19/2009,NULL
A011450,06/27/1946,07/17/2000,NULL
A011463,07/10/1946,05/17/2012,NULL
A011498,10/14/2003,04/13/1995,NULL
A011506,08/10/1946,04/01/1997,NULL
A011526,06/30/1951,11/30/1995,NULL
A011550,09/12/1946,02/21/2023,NULL
A011569,09/30/1946,09/15/1994,NULL
A011626,11/18/1946,01/04/2022,NULL
A011627,11/18/1946,02/17/2012,NULL
A011633,11/25/1946,08/31/2005,NULL
A011654,12/10/1946,09/15/1994,NULL
A011658,12/12/1946,01/13/1998,NULL
A011693,01/10/1947,09/15/1994,NULL
A011823,04/15/1947,09/25/2012,NULL
A011854B,09/06/2022,09/06/2022,NULL
A011855,05/05/1947,10/02/2017,NULL
A011859,05/07/1947,09/15/1994,NULL
A011875A,05/12/1947,02/08/2023,NULL
A011885,05/22/1947,01/19/2023,NULL
A011895,05/26/1947,09/15/1994,NULL
A011897,05/26/1947,01/01/2015,NULL
A011902,05/26/1947,07/20/1999,NULL
A011915,06/05/1947,09/15/1994,NULL
A011916,06/05/1947,04/28/2006,NULL
A011923,06/09/1947,02/16/2022,NULL
A011925,06/09/1947,11/17/2009,NULL
A011927,06/09/1947,09/15/1994,NULL
A011957,06/24/1947,09/15/1994,NULL
A011977,07/09/1947,03/18/2014,NULL
A011989,03/19/1958,09/15/1994,NULL
A011992,04/02/2002,09/15/1994,NULL
A012004,08/02/2012,07/31/2007,NULL
A012031,08/11/1947,09/15/1994,NULL
A012102,09/23/1947,09/15/1994,NULL
A012120,10/07/1947,02/05/2014,NULL
A012140,10/29/1947,09/15/1994,NULL
A012159,11/19/1947,09/15/1994,NULL
A012182,12/01/1947,09/15/1994,NULL
A012219,06/19/2008,09/15/1994,NULL
A012221,09/09/2011,09/15/1994,NULL
A012230A,01/06/1948,09/15/1994,NULL
A012240,07/17/2020,11/12/2015,NULL
A012263,12/29/2003,09/15/1994,NULL
A012267,01/28/1948,03/02/2022,NULL
A012319,07/28/1952,05/31/2008,NULL
A012329,06/08/2016,03/11/2009,NULL
A012336,06/20/2014,09/23/1997,NULL
A012340,02/18/1948,09/15/1994,NULL
A012341,02/19/1948,11/07/2003,NULL
A012342A,02/20/1948,09/15/1994,NULL
A012364,10/06/2015,09/15/1994,NULL
A012443,03/29/1948,02/01/2021,NULL
A012448,03/29/1948,11/07/2003,NULL
A012482,04/23/1948,09/15/1994,NULL
A012489,04/28/1948,01/10/2018,NULL
A012496,09/30/2013,03/05/2004,NULL
A012509,08/24/2004,08/06/2013,NULL
A012548,06/16/1948,09/15/1994,NULL
A012552,06/22/1948,09/15/1994,NULL
A012559,06/24/1948,09/15/1994,NULL
A012560,06/24/1948,09/15/1994,NULL
A012572,06/29/1948,09/15/1994,NULL
A012606,10/24/2008,09/15/1994,NULL
A012626,01/05/2015,05/10/2012,NULL
A012637,08/09/1948,11/09/2007,NULL
A012648,08/12/1948,09/15/1994,NULL
A012657,05/20/2004,09/15/1994,NULL
A012659,08/19/1948,09/15/1994,NULL
A012662,08/24/1948,09/15/1994,NULL
A012674,09/02/1948,10/12/2011,NULL
A012716,02/28/1957,09/15/1994,NULL
A012717C,04/18/2002,03/13/2018,NULL
A012730,07/11/2019,09/15/1994,NULL
A012739,10/08/1948,10/10/2001,NULL
A012795B,10/26/2009,03/17/2004,NULL
A012835,11/22/1948,07/15/2004,NULL
A012848,07/29/2004,09/15/1994,NULL
A012851,05/02/2001,01/13/1999,NULL
A012900,01/17/1949,03/15/2011,NULL
A012919A,01/21/1975,09/15/1994,NULL
A012931,03/15/2022,09/15/1994,NULL
A013002,03/25/1949,07/14/2017,NULL
A013006,03/28/1949,09/12/2018,NULL
A013009,10/31/2001,NULL,NULL
A013018,04/05/1949,07/23/2015,NULL
A013101,05/19/1949,09/15/1994,NULL
A013123,05/31/1949,06/05/2013,NULL
A013126A,09/22/1983,11/30/2001,NULL
A013148,06/10/1949,10/09/2019,NULL
A013180,06/28/1949,10/25/2004,NULL
A013181,06/28/1949,10/25/2004,NULL
A013187,06/30/1949,09/15/1994,NULL
A013200,06/30/1949,09/15/1994,NULL
A013224,07/08/1949,09/15/1994,NULL
A013277,08/04/1949,01/06/2017,NULL
A013292,08/11/1949,08/20/2021,NULL
A013324,10/11/1957,04/15/2004,NULL
A013344,09/08/1949,04/04/2019,NULL
A013345,09/08/1949,12/14/2001,NULL
A013363,09/27/1949,01/14/2015,NULL
A013371,07/29/2002,09/15/1994,NULL
A013391,10/07/1949,12/08/1995,NULL
A013399,10/13/1949,12/18/1995,NULL
A013410,10/24/1949,09/15/1994,NULL
A013446,11/04/1949,09/15/1994,NULL
A013462B,08/19/1976,01/24/1996,NULL
A013493,12/01/1949,10/22/2012,NULL
A013525,12/29/1949,09/15/1994,NULL
A013575,03/17/2004,09/15/1994,NULL
A013587,02/20/1950,09/15/1994,NULL
A013612,03/01/1950,07/19/2023,NULL
A013637,05/19/2004,09/15/1994,NULL
A013651B,03/24/1950,02/07/2023,NULL
A013679,04/07/1950,09/15/1994,NULL
A013684,03/18/1998,09/15/1994,NULL
A013695,04/19/1950,04/29/2020,NULL
A013706,04/26/1950,09/15/1994,NULL
A013716,05/02/1950,05/01/2014,NULL
A013721,05/05/1950,10/31/2003,NULL
A013731,05/12/1958,08/18/2023,NULL
A013738,05/15/1950,03/19/2015,NULL
A013758,05/25/1950,09/23/2004,NULL
A013814,06/26/1950,11/07/2003,NULL
A013817,06/27/1950,01/05/2011,NULL
A013821,06/28/1950,09/15/1994,NULL
A013839,07/06/1950,11/30/2001,NULL
A013842,09/12/2011,03/12/2004,NULL
A013863,07/25/1950,06/11/2009,NULL
A013874,07/31/1950,05/01/2012,NULL
A013894,08/14/1950,01/10/1996,NULL
A013895,08/14/1950,11/25/2015,NULL
A013897,08/15/1950,09/18/2015,NULL
A013900,08/17/1950,02/18/2014,NULL
A013910,08/21/1950,09/18/2002,NULL
A013915,08/23/1950,07/21/2006,NULL
A013918,08/24/1950,07/29/2005,NULL
A013928,08/31/1950,09/15/1994,NULL
A013929,08/31/1950,09/15/1994,NULL
A013953,09/13/1950,09/15/1994,NULL
A013974,10/02/1950,09/29/2023,NULL
A014000,10/16/1950,03/18/2020,NULL
A014002SF,10/16/1950,09/15/1994,NULL
A014006,10/17/1950,09/15/1994,NULL
A014019,01/27/2009,09/15/1994,NULL
A014021,10/26/1950,06/14/2006,NULL
A014023,10/28/1950,03/03/2022,NULL
A014043,11/13/1950,09/15/1994,NULL
A014044A,08/06/1992,01/06/2017,NULL
A014061,11/20/1950,08/05/2022,NULL
A014091,12/04/1950,09/15/1994,NULL
A014092,12/04/1950,05/01/2014,NULL
A014100,12/12/1950,11/17/2016,NULL
A014103,10/30/2006,09/15/1994,NULL
A014104,12/14/1950,09/15/1994,NULL
A014115,12/29/1950,05/03/2019,NULL
A014118,01/02/1951,09/15/1994,NULL
A014120,10/14/2003,NULL,NULL
A014123,10/21/1955,09/15/1994,NULL
A014138,01/22/1951,09/11/2011,NULL
A014152,02/09/1951,08/21/2006,11/02/2022
A014160,02/13/1951,09/29/2023,NULL
A014179,03/07/1951,11/17/2003,NULL
A014241,04/09/1951,04/01/2003,NULL
A014247,07/11/2005,09/15/1994,NULL
A014283,05/02/1951,09/15/1994,NULL
A014287,05/02/1951,09/15/1994,NULL
A014297,05/09/1951,09/15/1994,NULL
A014339,06/07/1951,12/08/1995,NULL
A014341,06/08/1951,01/26/2005,NULL
A014363,03/22/2001,NULL,NULL
A014364,06/25/1951,08/30/2022,NULL
A014400,07/19/1951,09/15/1994,NULL
A014417,08/06/1951,11/16/2015,NULL
A014428,09/26/1996,09/15/1994,NULL
A014428A,08/15/1951,11/05/2022,NULL
A014453,08/29/1951,09/15/1994,NULL
A014466,09/06/1951,02/07/2019,NULL
A014492,09/19/1951,08/05/2022,NULL
A014538,07/18/2005,09/15/1994,NULL
A014540,10/31/1951,03/11/2005,NULL
A014544,11/01/1951,09/15/1994,NULL
A014545,11/01/1951,10/05/2009,NULL
A014546,11/02/1951,09/15/1994,NULL
A014586,11/23/1951,05/31/2012,NULL
A014591,01/04/2017,09/15/1994,NULL
A014615,01/07/1952,09/05/2017,NULL
A014658,03/01/2001,09/15/1994,NULL
A014715,03/17/1952,09/15/1994,NULL
A014716,03/17/1952,12/29/2020,NULL
A014785,04/29/1952,09/15/1994,NULL
A014804,05/12/1952,09/15/1994,NULL
A014824,06/29/2020,05/16/2002,NULL
A014826,05/27/1952,04/07/2004,NULL
A014834,06/14/2005,09/15/1994,NULL
A014836,06/02/1952,05/05/2004,NULL
A014858SF,06/16/1952,09/15/1994,NULL
A014916A,07/21/1952,11/21/1996,NULL
A014932,07/28/1952,09/15/1994,NULL
A014951,08/06/1952,05/20/2019,NULL
A014957,03/24/2005,09/15/1994,NULL
A014963,08/12/1952,09/15/1994,NULL
A015015,12/17/2013,07/20/2007,NULL
A015017,07/14/2008,09/15/1994,NULL
A015032,07/09/2008,09/15/1994,NULL
A015035,09/26/1952,03/28/2000,NULL
A015040,10/06/1952,03/01/2017,NULL
A015070,10/29/1952,09/15/1994,NULL
A015099,11/28/1952,03/29/2022,NULL
A015105,12/04/1952,09/15/1994,NULL
A015120,12/15/1952,11/10/2015,NULL
A015125,12/17/1952,09/15/1994,NULL
A015150,01/12/1953,09/15/1994,NULL
A015153,01/12/1953,11/28/2014,NULL
A015170,01/23/1953,11/07/2020,NULL
A015173,11/26/2019,12/04/2001,NULL
A015189,02/06/1953,09/15/1994,NULL
A015215,03/02/1953,03/11/2005,NULL
A015223,03/04/1953,10/24/2002,NULL
A015291,04/14/1953,01/23/2017,NULL
A015297,01/03/2017,08/20/2004,NULL
A015339,05/12/1953,09/15/1994,NULL
A015363,06/01/1953,03/13/2012,NULL
A015374,07/29/2002,03/24/1999,NULL
A015397,07/01/1953,09/16/2013,NULL
A015402,07/06/1953,12/15/2016,NULL
A015411,07/14/1953,12/03/2018,NULL
A015442,07/12/2005,09/15/1994,NULL
A015455,08/10/1953,09/15/1994,NULL
A015461,08/12/1953,06/21/2023,NULL
A015470B,08/19/1953,08/25/2015,NULL
A015484,08/27/1953,09/15/1994,NULL
A015493,08/31/1953,09/15/1994,NULL
A015500,08/31/1953,09/15/1994,NULL
A015510,08/31/1953,09/15/1994,NULL
A015546,10/25/2016,09/15/1994,NULL
A015567,10/05/1953,01/27/2012,NULL
A015590,10/29/1953,09/15/1994,NULL
A015609,11/10/1953,01/08/2009,NULL
A015631,08/22/2006,12/03/2004,NULL
A015649,12/14/1953,05/21/2014,NULL
