"Name","Tmin","Tmax"
"Temp8","2022-12-01",-2.7
"Temp8","2022-12-02",-2.3
"Temp8","2022-12-03",-2.1
"Temp8","2022-12-04",3.7
"Temp8","2022-12-05",7.4
"Temp8","2022-12-06",6.2
"Temp8","2022-12-07",0.5
"Temp8","2022-12-08",0.5
"Temp8","2022-12-09",3
"Temp8","2022-12-10",3.6
"Temp8","2022-12-11",6.2
"Temp8","2022-12-12",2.6
"Temp8","2022-12-13",-1
"Temp8","2022-12-14",-1.5
"Temp8","2022-12-15",-1.6
"Temp8","2022-12-16",-1.9
"Temp8","2022-12-17",-3
"Temp8","2022-12-18",-3.3
"Temp8","2022-12-19",-2.7
"Temp8","2022-12-20",1.9
"Temp8","2022-12-21",1.6
"Temp8","2022-12-22",2.3
"Temp8","2022-12-23",4.8
"Temp8","2022-12-24",3.5
"Temp8","2022-12-25",5.1
"Temp8","2022-12-26",5.6
"Temp8","2022-12-27",6.3
