APPLICATION_NUMBER,YEAR,JAN_DIRECT_DIVERSION,FEB_DIRECT_DIVERSION,MAR_DIRECT_DIVERSION,APR_DIRECT_DIVERSION,MAY_DIRECT_DIVERSION,JUN_DIRECT_DIVERSION,JUL_DIRECT_DIVERSION,AUG_DIRECT_DIVERSION,SEP_DIRECT_DIVERSION,OCT_DIRECT_DIVERSION,NOV_DIRECT_DIVERSION,DEC_DIRECT_DIVERSION,JAN_STORAGE_DIVERSION,FEB_STORAGE_DIVERSION,MAR_STORAGE_DIVERSION,APR_STORAGE_DIVERSION,MAY_STORAGE_DIVERSION,JUN_STORAGE_DIVERSION,JUL_STORAGE_DIVERSION,AUG_STORAGE_DIVERSION,SEP_STORAGE_DIVERSION,OCT_STORAGE_DIVERSION,NOV_STORAGE_DIVERSION,DEC_STORAGE_DIVERSION,JAN_TOTAL_DIVERSION,FEB_TOTAL_DIVERSION,MAR_TOTAL_DIVERSION,APR_TOTAL_DIVERSION,MAY_TOTAL_DIVERSION,JUN_TOTAL_DIVERSION,JUL_TOTAL_DIVERSION,AUG_TOTAL_DIVERSION,SEP_TOTAL_DIVERSION,OCT_TOTAL_DIVERSION,NOV_TOTAL_DIVERSION,DEC_TOTAL_DIVERSION
A002928,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003421,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003421,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003421,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003421,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003421,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A003565,2017,0,0,0,0,0.3,0.51,0.75,1.1,0.65,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.51,0.75,1.1,0.65,0.5,0,0
A003565,2018,0.11,0,0,0.02,0.01,0.02,7.95,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0.02,0.01,0.02,7.95,2.98,0,0,0,0
A003565,2019,0,0,0,0,0.006,0.028,0.021,6.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.028,0.021,6.745,0,0,0,0
A003565,2020,0,0,2.75,0.68,0.5,0.95,4.96,3.04,1.57,3,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0.68,0.5,0.95,4.96,3.04,1.57,3,0.03,0
