"APPLICATION_NUMBER","YEAR","MONTH","AMOUNT","DIVERSION_TYPE"
"A006926",2015,12,0.043885,"DIRECT"
"A006926",2018,11,0.021912,"DIRECT"
"A006926",2016,7,0,"STORAGE"
"A006926",2016,2,0.03519,"DIRECT"
"A006926",2016,1,0.045102,"DIRECT"
"A006926",2019,2,0.01593,"DIRECT"
"A006926",2016,11,0.039143,"DIRECT"
"A006926",2016,4,0,"STORAGE"
"A006926",2018,12,0,"STORAGE"
"A006926",2018,3,0,"STORAGE"
"A006926",2016,8,0,"STORAGE"
"A006926",2018,4,0,"STORAGE"
"A006926",2018,3,0.018551,"DIRECT"
"A006926",2016,3,0,"STORAGE"
"A006926",2019,3,0,"STORAGE"
"A006926",2019,1,0,"STORAGE"
"A006926",2018,6,0,"STORAGE"
"A006926",2016,5,0.085671,"DIRECT"
"A006926",2016,6,0,"STORAGE"
"A006926",2018,11,0,"STORAGE"
"A006926",2017,11,0,"DIRECT"
"A006926",2016,3,0.061892,"DIRECT"
"A006926",2019,3,0.019794,"DIRECT"
"A006926",2016,4,0.093418,"DIRECT"
"A006926",2016,7,0.120091,"DIRECT"
"A006926",2017,2,0,"STORAGE"
"A006926",2016,5,0,"STORAGE"
"A006926",2018,4,0.026699,"DIRECT"
"A006926",2014,10,0.091698732,"DIRECT"
"A006926",2016,12,0.018851,"DIRECT"
"A006926",2017,2,0,"DIRECT"
"A006926",2016,10,0,"STORAGE"
"A006926",2018,8,0.039006,"DIRECT"
"A006926",2016,11,0,"STORAGE"
"A006926",2019,2,0,"STORAGE"
"A006926",2018,5,0.030919,"DIRECT"
"A006926",2019,1,0.019334,"DIRECT"
"A006926",2016,6,0.106612,"DIRECT"
"A006926",2015,5,0.095136,"DIRECT"
"A006926",2015,8,0.104342,"DIRECT"
"A006926",2016,10,0.080941,"DIRECT"
"A006926",2018,7,0.039006,"DIRECT"
"A006926",2018,6,0.029461,"DIRECT"
"A006926",2018,5,0,"STORAGE"
"A006926",2017,1,0,"STORAGE"
"A006926",2018,1,0.016554,"DIRECT"
"A006926",2014,5,0.0121405684,"DIRECT"
"A006926",2017,10,0,"STORAGE"
"A006926",2014,2,0,"DIRECT"
"A006926",2015,3,0.05524,"DIRECT"
"A006926",2015,7,0.110787,"DIRECT"
"A006926",2016,9,0.13291,"DIRECT"
"A006926",2016,8,0.10339,"DIRECT"
"A006926",2018,7,0,"STORAGE"
"A006926",2017,5,100,"STORAGE"
"A006926",2017,6,0,"DIRECT"
"A006926",2014,8,0.0656683222,"DIRECT"
"A006926",2014,12,0,"DIRECT"
"A006926",2020,4,0.022,"DIRECT"
"A006926",2020,2,0.015,"DIRECT"
"A006926",2017,11,0,"STORAGE"
"A006926",2015,1,0,"STORAGE"
"A006926",2014,10,0,"STORAGE"
"A006926",2018,8,0,"STORAGE"
"A006926",2015,10,0,"STORAGE"
"A006926",2015,5,0,"STORAGE"
"A006926",2018,9,0.039497,"DIRECT"
"A006926",2014,8,0,"STORAGE"
"A006926",2014,6,0.0457419545,"DIRECT"
"A006926",2014,7,0,"STORAGE"
"A006926",2014,3,0.004050948,"DIRECT"
"A006926",2015,7,0,"STORAGE"
"A006926",2016,9,0,"STORAGE"
"A006926",2017,12,0,"DIRECT"
"A006926",2014,3,0,"STORAGE"
"A006926",2017,4,100,"STORAGE"
