"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"S014863",2.784,"Acre-feet",0,"Acre-feet per Year"
"S014946",1209.748,"Acre-feet",0,"Acre-feet per Year"
"S014977",5.6455,"Acre-feet",0,"Acre-feet per Year"
"S014978",4.0325,"Acre-feet",0,"Acre-feet per Year"
"S015196",0.336,"Acre-feet",0,"Acre-feet per Year"
"S015335",40.2042,"Acre-feet",0,"Acre-feet per Year"
"S015461",322.358,"Acre-feet",0,"Acre-feet per Year"
"S015522",2028.32,"Acre-feet",0,"Acre-feet per Year"
"S015753",4,"Acre-feet",0,"Acre-feet per Year"
"S015758",12,"Acre-feet",0,"Acre-feet per Year"
"S015825",0,"Acre-feet",0,"Acre-feet per Year"
"S015850",36,"Acre-feet",0,"Acre-feet per Year"
"S015871",25,"Acre-feet",0,"Acre-feet per Year"
"S015910",0,"Acre-feet",0,"Acre-feet per Year"
"S015924",30.1,"Acre-feet",0,"Acre-feet per Year"
"S015948",0,"Acre-feet",0,"Acre-feet per Year"
"S016021",79.684,"Acre-feet",0,"Acre-feet per Year"
"S016054",362.2,"Acre-feet",0,"Acre-feet per Year"
"S016056",39.842,"Acre-feet",0,"Acre-feet per Year"
"S016062",21.732,"Acre-feet",0,"Acre-feet per Year"
"S016165",14.488,"Acre-feet",0,"Acre-feet per Year"
"S016328",1.3902,"Acre-feet",0,"Acre-feet per Year"
"S016684",1210.4724,"Acre-feet",0,"Acre-feet per Year"
"S016732",44.5506,"Acre-feet",0,"Acre-feet per Year"
"S016775",1.8,"Acre-feet",0,"Acre-feet per Year"
"S016778",7,"Acre-feet",0,"Acre-feet per Year"
"S016783",12,"Acre-feet",0,"Acre-feet per Year"
"S016819",17.3,"Acre-feet",0,"Acre-feet per Year"
"S016836",79.2,"Acre-feet",0,"Acre-feet per Year"
"S016885",23.3,"Acre-feet",0,"Acre-feet per Year"
"S016901",4.5,"Acre-feet",0,"Acre-feet per Year"
"S017020",1.4488,"Acre-feet",0,"Acre-feet per Year"
"S017301",56.5032,"Acre-feet",0,"Acre-feet per Year"
"S018136",7,"Acre-feet",0,"Acre-feet per Year"
"S018141",1,"Acre-feet",0,"Acre-feet per Year"
"S018153",7.5,"Acre-feet",0,"Acre-feet per Year"
"S018214",7.9,"Acre-feet",0,"Acre-feet per Year"
"S019193",67.9,"Acre-feet",0,"Acre-feet per Year"
"S019643",6.2,"Acre-feet",0,"Acre-feet per Year"
"S019763",726.211,"Acre-feet",0,"Acre-feet per Year"
"S020596",807.706,"Acre-feet",0,"Acre-feet per Year"
"S021353",33.36,"Acre-feet",0,"Acre-feet per Year"
"S021473",1089.4976,"Acre-feet",0,"Acre-feet per Year"
"S022000",398.42,"Acre-feet",0,"Acre-feet per Year"
"S022156",968.5228,"Acre-feet",0,"Acre-feet per Year"
"S022313",29.19,"Acre-feet",0,"Acre-feet per Year"
"S022725",807.706,"Acre-feet",0,"Acre-feet per Year"
"S022799",11.9526,"Acre-feet",0,"Acre-feet per Year"
"S022832",7.37,"Acre-feet",0,"Acre-feet per Year"
"S022853",97.794,"Acre-feet",0,"Acre-feet per Year"
"S022869",322.358,"Acre-feet",0,"Acre-feet per Year"
"S022877",0,"Acre-feet",0,"Acre-feet per Year"
"S023707",0.1166,"Acre-feet",0,"Acre-feet per Year"
"S023862",36.22,"Acre-feet",0,"Acre-feet per Year"
"S023896",9,"Acre-feet",0,"Acre-feet per Year"
"S023960",0.3,"Acre-feet",0,"Acre-feet per Year"
"S025029",221.7875,"Acre-feet",0,"Acre-feet per Year"
"S025263",0.168,"Acre-feet",0,"Acre-feet per Year"
"S025344",NA,"",0,"Acre-feet per Year"
"S025479",0.1,"Acre-feet",0,"Acre-feet per Year"
"S025484",7.6,"Acre-feet",0,"Acre-feet per Year"
"S025769",0.5617,"Acre-feet",0,"Acre-feet per Year"
"S025816",0.9612,"Acre-feet",0,"Acre-feet per Year"
"S025891",0.4143,"Acre-feet",0,"Acre-feet per Year"
"S026644",0,"Acre-feet",0,"Acre-feet per Year"
"S026687",0.046,"Acre-feet",0,"Acre-feet per Year"
"S027081",0,"Acre-feet",0,"Acre-feet per Year"
"S027090",0.3314,"Acre-feet",0,"Acre-feet per Year"
"S027519",0.014,"Acre-feet",0,"Acre-feet per Year"
"S027799",0.7365,"Acre-feet",0,"Acre-feet per Year"
"S027969",22,"Acre-feet",0,"Acre-feet per Year"
"S028035",9.84,"Acre-feet",0,"Acre-feet per Year"
"S028307",0,"Acre-feet",0,"Acre-feet per Year"
