"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"A023098",NA,"",156,"Acre-feet per Year"
"A023144",NA,"",13,"Acre-feet per Year"
"A023163",NA,"",208,"Acre-feet per Year"
"A023250",NA,"",25,"Acre-feet per Year"
"A023399",NA,"",6,"Acre-feet per Year"
"A023539",NA,"",7.5,"Acre-feet per Year"
"A023540",NA,"",20,"Acre-feet per Year"
"A023545",NA,"",14,"Acre-feet per Year"
"A023654B",NA,"",53.8,"Acre-feet per Year"
"A023660",NA,"",2.3,"Acre-feet per Year"
"A023664",NA,"",24,"Acre-feet per Year"
"A023792",NA,"",4,"Acre-feet per Year"
"A023793",NA,"",341,"Acre-feet per Year"
"A023794",NA,"",12.5,"Acre-feet per Year"
"A023868",NA,"",28,"Acre-feet per Year"
"A023869",NA,"",9.4,"Acre-feet per Year"
"A024017",NA,"",23,"Acre-feet per Year"
"A024044",NA,"",25,"Acre-feet per Year"
"A024051",NA,"",78,"Acre-feet per Year"
"A024130",NA,"",39.3,"Acre-feet per Year"
"A024163",NA,"",13.9,"Acre-feet per Year"
"A024205",NA,"",49.7,"Acre-feet per Year"
"A024270B",NA,"",690,"Acre-feet per Year"
"A024310A",NA,"",43.5,"Acre-feet per Year"
"A024310B",NA,"",25,"Acre-feet per Year"
"A024318",NA,"",23.5,"Acre-feet per Year"
"A024378",NA,"",17,"Acre-feet per Year"
"A024391",NA,"",3,"Acre-feet per Year"
"A024488",NA,"",3,"Acre-feet per Year"
"A024522B",NA,"",87,"Acre-feet per Year"
"A024569",NA,"",34,"Acre-feet per Year"
"A024571B",NA,"",173,"Acre-feet per Year"
"A024706",NA,"",32,"Acre-feet per Year"
"A024761",NA,"",86,"Acre-feet per Year"
"A024762A",NA,"",31,"Acre-feet per Year"
"A024780",NA,"",6.1,"Acre-feet per Year"
"A024865A02",NA,"",60.7,"Acre-feet per Year"
"A024874",NA,"",3,"Acre-feet per Year"
"A024891",NA,"",36,"Acre-feet per Year"
"A024892A",NA,"",195,"Acre-feet per Year"
"A024893A",NA,"",42,"Acre-feet per Year"
"A024893B",NA,"",150,"Acre-feet per Year"
"A024929",NA,"",1137,"Acre-feet per Year"
"A024935",NA,"",0.4,"Acre-feet per Year"
"A024958B",NA,"",43,"Acre-feet per Year"
"A024962",NA,"",3.3,"Acre-feet per Year"
"A024963",NA,"",16,"Acre-feet per Year"
"A024968A",NA,"",22.6,"Acre-feet per Year"
"A024995",NA,"",38,"Acre-feet per Year"
"A025032",NA,"",23,"Acre-feet per Year"
"A025052",NA,"",9,"Acre-feet per Year"
"A025222",NA,"",2,"Acre-feet per Year"
"A025367",NA,"",22,"Acre-feet per Year"
"A025394",NA,"",1896,"Acre-feet per Year"
"A025749A",NA,"",16.8,"Acre-feet per Year"
"A025749B",NA,"",26,"Acre-feet per Year"
"A025830",NA,"",2.3,"Acre-feet per Year"
"A025887A",NA,"",122,"Acre-feet per Year"
"A025888A",NA,"",415,"Acre-feet per Year"
"A026022A",NA,"",49.5,"Acre-feet per Year"
"A026055B",NA,"",73,"Acre-feet per Year"
"A026143",NA,"",3.6,"Acre-feet per Year"
"A026182",NA,"",1.5,"Acre-feet per Year"
"A026184",NA,"",2.4,"Acre-feet per Year"
"A026503",NA,"",9.9,"Acre-feet per Year"
"A026624",NA,"",209953.5,"Acre-feet per Year"
"A026808",NA,"",13,"Acre-feet per Year"
"A026938",NA,"",14,"Acre-feet per Year"
"A026993",NA,"",3.9,"Acre-feet per Year"
"A027075",NA,"",5.4,"Acre-feet per Year"
"A027249",NA,"",9,"Acre-feet per Year"
"A027479",NA,"",300,"Acre-feet per Year"
"A027523",NA,"",12,"Acre-feet per Year"
"A027541",NA,"",3.4,"Acre-feet per Year"
"A027583",NA,"",40,"Acre-feet per Year"
"A027841",NA,"",20,"Acre-feet per Year"
"A028116",NA,"",17,"Acre-feet per Year"
"A028633",NA,"",1.9,"Acre-feet per Year"
"A028648",NA,"",2.8,"Acre-feet per Year"
"A028738",NA,"",1.3,"Acre-feet per Year"
"A028828",NA,"",3,"Acre-feet per Year"
"A028925",NA,"",2.2,"Acre-feet per Year"
"A028926",NA,"",8,"Acre-feet per Year"
"A029122",NA,"",15,"Acre-feet per Year"
"A029277",NA,"",5,"Acre-feet per Year"
"A029401",NA,"",10,"Acre-feet per Year"
"A029480",NA,"",7.3,"Acre-feet per Year"
"A029502",NA,"",18,"Acre-feet per Year"
"A029562",NA,"",52.5,"Acre-feet per Year"
"A029628",NA,"",150,"Acre-feet per Year"
"A029632",NA,"",94,"Acre-feet per Year"
"A029995",NA,"",21,"Acre-feet per Year"
"A030132",NA,"",15,"Acre-feet per Year"
"A030349",NA,"",8.3,"Acre-feet per Year"
"A030412",NA,"",20,"Acre-feet per Year"
"A030560",NA,"",80,"Acre-feet per Year"
"A031050",NA,"",156,"Acre-feet per Year"
"A031171",NA,"",30,"Acre-feet per Year"
"A031259",NA,"",38,"Acre-feet per Year"
"A031304",NA,"",48,"Acre-feet per Year"
"A031362",NA,"",48,"Acre-feet per Year"
"A031501",NA,"",4,"Acre-feet per Year"
"A031567",NA,"",10,"Acre-feet per Year"
"C000512",NA,"",0,"Acre-feet per Year"
"C001180",NA,"",0,"Acre-feet per Year"
"C002935",NA,"",0,"Acre-feet per Year"
"C003979",NA,"",0,"Acre-feet per Year"
"C005161",NA,"",2,"Acre-feet per Year"
"C005165",NA,"",4,"Acre-feet per Year"
"C006052",NA,"",1.4,"Acre-feet per Year"
"D032058",NA,"",5.105,"Acre-feet per Year"
"D032062",NA,"",5,"Acre-feet per Year"
"D032141",NA,"",4.78,"Acre-feet per Year"
"D032187",NA,"",10,"Acre-feet per Year"
"D032249",NA,"",10,"Acre-feet per Year"
"D032275",NA,"",8.4,"Acre-feet per Year"
"D032320",NA,"",0.13,"Acre-feet per Year"
"D032708",NA,"",0.32,"Acre-feet per Year"
"H032009",NA,"",20,"Acre-feet per Year"
"H032331",NA,"",20,"Acre-feet per Year"
"H033072",NA,"",11,"Acre-feet per Year"
"H501328",NA,"",0.17,"Acre-feet per Year"
"H501475",NA,"",0.42,"Acre-feet per Year"
"H501586",NA,"",0.35,"Acre-feet per Year"
"H504162",NA,"",0.49,"Acre-feet per Year"
"H505809",NA,"",0.15,"Acre-feet per Year"
"H505968",NA,"",0.77,"Acre-feet per Year"
"H505997",NA,"",1.55,"Acre-feet per Year"
"H506517",NA,"",2.92,"Acre-feet per Year"
"H509523",NA,"",0.09,"Acre-feet per Year"
"L031378",NA,"",8,"Acre-feet per Year"
"L031420",NA,"",3.1,"Acre-feet per Year"
"L031422",NA,"",2.1,"Acre-feet per Year"
"L031573",NA,"",0.3,"Acre-feet per Year"
"L031669",NA,"",9,"Acre-feet per Year"
"L031764",NA,"",2,"Acre-feet per Year"
"L032288",NA,"",8.8,"Acre-feet per Year"
"L032735",NA,"",7.8,"Acre-feet per Year"
"S000632",125,"Acre-feet",0,"Acre-feet per Year"
"S000652",5e-04,"Acre-feet",0,"Acre-feet per Year"
"S002059",12.677,"Acre-feet",0,"Acre-feet per Year"
"S002341",39.842,"Acre-feet",0,"Acre-feet per Year"
"S003106",0.1387,"Acre-feet",0,"Acre-feet per Year"
"S008430",33.3224,"Acre-feet",0,"Acre-feet per Year"
"S008584",0.07,"Acre-feet",0,"Acre-feet per Year"
"S008585",0.0521,"Acre-feet",0,"Acre-feet per Year"
"S008591",0.7466,"Acre-feet",0,"Acre-feet per Year"
"S008628",0,"Acre-feet",0,"Acre-feet per Year"
"S008664",40.9286,"Acre-feet",0,"Acre-feet per Year"
"S008765",322.7202,"Acre-feet",0,"Acre-feet per Year"
"S009054",181.1,"Acre-feet",0,"Acre-feet per Year"
"S009168",112.282,"Acre-feet",0,"Acre-feet per Year"
"S009689",0.0017,"Acre-feet",0,"Acre-feet per Year"
"S010489",0.5041,"Acre-feet",0,"Acre-feet per Year"
"S010490",0.5041,"Acre-feet",0,"Acre-feet per Year"
"S010515",0.5041,"Acre-feet",0,"Acre-feet per Year"
"S010522",NA,"",0,"Acre-feet per Year"
"S010889",644.716,"Acre-feet",0,"Acre-feet per Year"
"S012432",6,"Acre-feet",0,"Acre-feet per Year"
"S012532",NA,"",0,"Acre-feet per Year"
"S012533",0.5041,"Acre-feet",0,"Acre-feet per Year"
"S013187",181100,"Acre-feet",0,"Acre-feet per Year"
"S013696",161.179,"Acre-feet",0,"Acre-feet per Year"
"S013709",4.839,"Acre-feet",0,"Acre-feet per Year"
"S013760",20.2832,"Acre-feet",0,"Acre-feet per Year"
"S013792",40.2042,"Acre-feet",0,"Acre-feet per Year"
"S013850",1.613,"Acre-feet",0,"Acre-feet per Year"
"S013915",NA,"",0,"Acre-feet per Year"
"S014016",2017.454,"Acre-feet",0,"Acre-feet per Year"
"S014063",3839.32,"Acre-feet",0,"Acre-feet per Year"
"S014070",847.1858,"Acre-feet",0,"Acre-feet per Year"
