"APPLICATION_NUMBER","USE_STATUS","DIRECT_SEASON_START_MONTH_1","DIRECT_SEASON_START_MONTH_2","DIRECT_DIV_SEASON_END_MONTH_1","DIRECT_DIV_SEASON_END_MONTH_2","STORAGE_SEASON_START_MONTH_1","STORAGE_SEASON_START_MONTH_2","STORAGE_SEASON_END_MONTH_1","STORAGE_SEASON_END_MONTH_2"
"A023534B","Migrated from old WRIMS data",4,NA,5,NA,NA,NA,NA,NA
"A023536","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,6,NA
"A023792","Migrated from old WRIMS data",NA,NA,NA,NA,1,NA,6,NA
"A023802","Migrated from old WRIMS data",NA,NA,NA,NA,1,NA,6,NA
"A024051","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A024126","Migrated from old WRIMS data",NA,NA,NA,NA,12,NA,6,NA
"A024209B","Requested when filed",3,9,5,11,NA,NA,NA,NA
"A024266B","Migrated from old WRIMS data",3,NA,5,NA,NA,NA,NA,NA
"A024271B","Migrated from old WRIMS data",3,NA,5,NA,NA,NA,NA,NA
"A024378","Migrated from old WRIMS data",NA,NA,NA,NA,10,NA,5,NA
"A024391","Added by change order",NA,NA,NA,NA,11,NA,4,NA
"A024391","Requested when filed",NA,NA,NA,NA,11,NA,4,NA
"A024405","Migrated from old WRIMS data",4,NA,6,NA,12,NA,6,NA
"A024405","Migrated from old WRIMS data",NA,NA,NA,NA,12,NA,6,NA
"A024425","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,5,NA
"A024593B","Requested when filed",3,NA,5,NA,NA,NA,NA,NA
"A024783","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,3,NA
"A024827","Migrated from old WRIMS data",NA,NA,NA,NA,10,NA,4,NA
"A024898","Migrated from old WRIMS data",NA,NA,NA,NA,10,NA,5,NA
"A024921","Migrated from old WRIMS data",6,NA,9,NA,NA,NA,NA,NA
"A024958B","Migrated from old WRIMS data",3,NA,5,NA,NA,NA,NA,NA
"A025012","Migrated from old WRIMS data",1,NA,12,NA,NA,NA,NA,NA
"A025032","Migrated from old WRIMS data",3,NA,5,NA,12,NA,5,NA
"A025201","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,4,NA
"A025623","Migrated from old WRIMS data",NA,NA,NA,NA,10,NA,5,NA
"A025749A","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,5,NA
"A025887B","Migrated from old WRIMS data",3,NA,5,NA,NA,NA,NA,NA
"A026938","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,4,NA
"A026993","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,5,NA
"A027036","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,4,NA
"A027046","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,4,NA
"A027046","Migrated from old WRIMS data",5,NA,9,NA,11,NA,4,NA
"A027149","Migrated from old WRIMS data",NA,NA,NA,NA,10,NA,4,NA
"A027177","Migrated from old WRIMS data",10,NA,5,NA,NA,NA,NA,NA
"A027424","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,3,NA
"A027440","Migrated from old WRIMS data",NA,NA,NA,NA,10,NA,5,NA
"A028365","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,4,NA
"A028635","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,5,NA
"A028855","Migrated from old WRIMS data",NA,NA,NA,NA,10,NA,5,NA
"A028886","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A029327","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A029479","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A029479","Added under section 798 of Regs",NA,NA,NA,NA,NA,NA,NA,NA
"A029480","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A029480",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A029480","Added under section 798 of Regs",NA,NA,NA,NA,NA,NA,NA,NA
"A029858","Migrated from old WRIMS data",NA,NA,NA,NA,NA,NA,NA,NA
"A029858","Added under section 798 of Regs",NA,NA,NA,NA,NA,NA,NA,NA
"A030412","Migrated from old WRIMS data",1,NA,12,NA,NA,NA,NA,NA
"A030412","Migrated from old WRIMS data",4,NA,NA,NA,NA,NA,NA,NA
"A030797","Migrated from old WRIMS data",NA,NA,NA,NA,12,NA,3,NA
"A030882","Migrated from old WRIMS data",NA,NA,NA,NA,12,NA,3,NA
"A030882","Requested when filed",NA,NA,NA,NA,NA,NA,NA,NA
"A031304","Requested when filed",NA,NA,NA,NA,11,NA,3,NA
"A031304","Requested when filed",NA,NA,NA,NA,11,11,5,3
"C001166","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,5,NA
"C005162","Migrated from old WRIMS data",NA,NA,NA,NA,1,NA,12,NA
"C005163","Migrated from old WRIMS data",NA,NA,NA,NA,1,NA,12,NA
"D032229","Requested when filed",NA,NA,NA,NA,10,NA,1,NA
"D032725","Requested when filed",NA,NA,NA,NA,NA,NA,NA,NA
"D032768","Requested when filed",NA,NA,NA,NA,2,NA,3,NA
"H500244","Requested when filed",11,NA,3,NA,11,NA,3,NA
"H501640","Requested when filed",11,NA,3,NA,11,NA,3,NA
"L031424","Migrated from old WRIMS data",NA,NA,NA,NA,11,NA,4,NA
"L032128","Requested when filed",NA,NA,NA,NA,1,NA,12,NA
"L032271","Requested when filed",4,NA,12,NA,NA,NA,NA,NA
