tmin 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
########################################,,,,,,"// 049684			precip	39.4194		-123.3425		1353","// 047109			precip	39.3619		-123.1286		1018","// 049122			precip	39.1466		-123.2102		636","// 049126			precip	39.1266		-123.2719		1328","// 041838			precip	38.793		-123.0263		400","// 043875			precip	38.6294		-122.8665		177","// 041312			precip	38.5768		-122.5781		350","// 043191			precip	38.515		-123.2447		112","// 043578			precip	38.4305		-122.8647		200","// 046370			precip	38.3858		-122.9661		865","// 049684			tmax	39.4194		-123.3425		1353","// 047109			tmax	39.3619		-123.1286		1018","// 049122			tmax	39.1466		-123.2102		636","// 049126			tmax	39.1266		-123.2719		1328","// 041838			tmax	38.793		-123.0263		400","// 043875			tmax	38.6294		-122.8665		177","// 041312			tmax	38.5768		-122.5781		350","// 043191			tmax	38.515		-123.2447		112","// 043578			tmax	38.4305		-122.8647		200","// 046370			tmax	38.3858		-122.9661		865","// 049684			tmin	39.4194		-123.3425		1353","// 047109			tmin	39.3619		-123.1286		1018","// 049122			tmin	39.1466		-123.2102		636","// 049126			tmin	39.1266		-123.2719		1328","// 041838			tmin	38.793		-123.0263		400","// 043875			tmin	38.6294		-122.8665		177","// 041312			tmin	38.5768		-122.5781		350","// 043191			tmin	38.515		-123.2447		112","// 043578			tmin	38.4305		-122.8647		200","// 046370			tmin	38.3858		-122.9661		865"
2022,3,21,0,0,0,-999,0,-999,-999,0,0,-999,0,-999,-999,-999,24.444445,-999,-999,24.444445,26.11111,-999,13.333333,-999,-999,-999,1.6666666,-999,-999,5.5555553,9.444445,-999,5,-999,-999
2022,3,22,0,0,0,-999,0,-999,-999,0,0,-999,0,-999,-999,-999,31.11111,-999,-999,26.666666,32.77778,-999,17.777779,-999,-999,-999,5.5555553,-999,-999,8.333333,12.777778,-999,6.6666665,-999,-999
2022,3,23,0,0,0,-999,0,-999,-999,0,0,-999,0,-999,-999,-999,31.11111,-999,-999,27.777779,25,-999,22.222221,-999,-999,-999,7.2222223,-999,-999,7.7777777,7.7777777,-999,6.6666665,-999,-999
2022,3,24,0,0,0,-999,-999,-999,-999,0,0,-999,0.254,-999,-999,-999,-999,-999,-999,22.777779,24.444445,-999,15.555555,-999,-999,-999,-999,-999,-999,5.5555553,5.5555553,-999,5.5555553,-999,-999
2022,3,25,0,0,0,-999,0,-999,-999,0,0,-999,0,-999,-999,-999,25.555555,-999,-999,26.666666,22.777779,-999,12.222222,-999,-999,-999,5.5555553,-999,-999,5.5555553,7.7777777,-999,6.111111,-999,-999
2022,3,26,0,0,0,-999,0,-999,-999,0,0,-999,0,-999,-999,-999,25.555555,-999,-999,26.666666,24.444445,-999,13.888889,-999,-999,-999,3.3333333,-999,-999,6.111111,5,-999,5.5555553,-999,-999
2022,3,27,0,0,0,-999,0,-999,-999,0,11.176,-999,0,-999,-999,-999,25,-999,-999,25,15,-999,14.444445,-999,-999,-999,7.7777777,-999,-999,7.2222223,8.888889,-999,7.7777777,-999,-999
2022,3,28,0,0,0,-999,10.922,-999,5.842,16.764,5.334,-999,22.86,-999,-999,-999,16.11111,-999,-999,14.444445,16.11111,-999,14.444445,-999,-999,-999,8.333333,-999,-999,8.888889,8.888889,-999,7.7777777,-999,-999
2022,3,29,0,0,0,-999,12.954,-999,5.842,1.27,0.254,-999,2.286,-999,-999,-999,17.777779,-999,-999,16.11111,21.11111,-999,13.888889,-999,-999,-999,7.2222223,-999,-999,7.2222223,6.6666665,-999,6.111111,-999,-999
2022,3,30,0,0,0,-999,0,-999,-999,0,0,-999,0,-999,-999,-999,16.666666,-999,-999,20,21.11111,-999,13.888889,-999,-999,-999,8.888889,-999,-999,7.7777777,7.2222223,-999,6.6666665,-999,-999
2022,3,31,0,0,0,-999,0,-999,-999,0,-999,-999,0,-999,-999,-999,20.555555,-999,-999,19.444445,-999,-999,13.333333,-999,-999,-999,3.8888888,-999,-999,6.111111,-999,-999,6.111111,-999,-999
2022,4,1,0,0,0,-999,0,-999,-999,0,-999,-999,-999,-999,-999,-999,24.444445,-999,-999,22.222221,-999,-999,-999,-999,-999,-999,3.3333333,-999,-999,5.5555553,-999,-999,-999,-999,-999
2022,4,2,0,0,0,-999,0,-999,-999,0,-999,-999,-999,-999,-999,-999,24.444445,-999,-999,25.555555,-999,-999,-999,-999,-999,-999,2.7777777,-999,-999,6.111111,-999,-999,-999,-999,-999
2022,4,3,0,0,0,-999,0,-999,-999,0,-999,-999,-999,-999,-999,-999,21.11111,-999,-999,26.666666,-999,-999,-999,-999,-999,-999,2.2222223,-999,-999,7.2222223,-999,-999,-999,-999,-999
2022,4,4,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
